Power Units_Bus Number,MW_15810,MVAr_15810,MW_15811,MVAr_15811,MW_15812,MVAr_15812,MW_15813,MVAr_15813,MW_15814,MVAr_15814,MW_15815,MVAr_15815,MW_15821,MVAr_15821,MW_15822,MVAr_15822,MW_15823,MVAr_15823,MW_15825,MVAr_15825,MW_15840,MVAr_15840,MW_15841,MVAr_15841,MW_158308,MVAr_158308,MW_158311,MVAr_158311,MW_158800,MVAr_158800
2024-01-01 00:30:00,2.02,-0.58,3.28,-0.64,7.07,-1.10,3.28,-0.64,2.02,-0.58,3.54,-0.55,1.94,-0.36,0.90,0.05,0.90,0.05,1.94,-0.36,2.25,-0.33,3.20,0.93,15.54,-8.82,15.54,-8.82,2.43,0.00
2024-01-01 01:00:00,1.98,-0.56,3.30,-0.64,6.77,-1.15,3.30,-0.64,1.98,-0.56,3.38,-0.58,1.88,-0.36,0.89,0.05,0.89,0.05,1.88,-0.36,2.23,-0.33,3.48,1.02,16.50,-8.60,16.50,-8.60,2.43,0.00
2024-01-01 01:30:00,2.03,-0.56,3.67,-0.62,7.10,-1.11,3.67,-0.62,2.03,-0.56,3.55,-0.56,1.95,-0.35,0.95,0.06,0.95,0.06,1.95,-0.35,2.27,-0.33,3.48,1.02,16.40,-8.57,16.40,-8.57,2.51,0.00
2024-01-01 02:00:00,2.00,-0.56,3.64,-0.60,7.05,-1.04,3.64,-0.60,2.00,-0.56,3.52,-0.52,1.95,-0.34,0.96,0.06,0.96,0.06,1.95,-0.34,2.24,-0.33,3.44,1.00,15.80,-8.70,15.80,-8.70,2.51,0.00
2024-01-01 02:30:00,1.91,-0.56,3.47,-0.60,6.68,-1.08,3.47,-0.60,1.91,-0.56,3.34,-0.54,1.84,-0.34,0.92,0.06,0.92,0.06,1.84,-0.34,2.13,-0.33,3.34,0.98,15.24,-8.75,15.24,-8.75,2.35,0.00
2024-01-01 03:00:00,1.85,-0.56,3.37,-0.60,6.38,-1.11,3.37,-0.60,1.85,-0.56,3.19,-0.56,1.81,-0.34,0.87,0.06,0.87,0.06,1.81,-0.34,2.06,-0.33,3.30,0.96,14.73,-8.89,14.73,-8.89,2.29,0.00
2024-01-01 03:30:00,1.75,-0.57,3.26,-0.61,6.14,-1.17,3.26,-0.61,1.75,-0.57,3.07,-0.58,1.74,-0.34,0.82,0.05,0.82,0.05,1.74,-0.34,2.03,-0.33,3.22,0.94,14.23,-8.86,14.23,-8.86,2.22,0.00
2024-01-01 04:00:00,1.69,-0.55,3.08,-0.58,5.85,-1.13,3.08,-0.58,1.69,-0.55,2.92,-0.56,1.74,-0.34,0.76,0.05,0.76,0.05,1.74,-0.34,2.05,-0.33,3.12,0.91,13.67,-8.92,13.67,-8.92,2.22,0.00
2024-01-01 04:30:00,1.63,-0.54,2.90,-0.58,5.61,-1.10,2.90,-0.58,1.63,-0.54,2.80,-0.55,1.67,-0.34,0.74,0.05,0.74,0.05,1.67,-0.34,2.05,-0.33,3.01,0.88,13.31,-9.03,13.31,-9.03,2.22,0.00
2024-01-01 05:00:00,1.63,-0.54,2.76,-0.58,5.39,-1.10,2.76,-0.58,1.63,-0.54,2.70,-0.55,1.65,-0.34,0.71,0.04,0.71,0.04,1.65,-0.34,1.95,-0.31,2.95,0.86,12.91,-8.97,12.91,-8.97,2.22,0.00
2024-01-01 05:30:00,1.59,-0.53,2.64,-0.58,5.19,-1.10,2.64,-0.58,1.59,-0.53,2.60,-0.55,1.63,-0.33,0.71,0.04,0.71,0.04,1.63,-0.33,1.95,-0.31,3.01,0.88,12.89,-8.93,12.89,-8.93,2.22,0.00
2024-01-01 06:00:00,1.64,-0.53,2.58,-0.60,5.05,-1.10,2.58,-0.60,1.64,-0.53,2.53,-0.55,1.64,-0.33,0.71,0.05,0.71,0.05,1.64,-0.33,2.02,-0.31,2.94,0.86,12.97,-8.90,12.97,-8.90,2.22,0.00
2024-01-01 06:30:00,1.63,-0.52,2.62,-0.58,5.05,-1.13,2.62,-0.58,1.63,-0.52,2.53,-0.56,1.64,-0.33,0.74,0.06,0.74,0.06,1.64,-0.33,2.11,-0.31,3.04,0.89,13.51,-8.76,13.51,-8.76,2.34,0.00
2024-01-01 07:00:00,1.71,-0.52,2.73,-0.56,5.26,-1.09,2.73,-0.56,1.71,-0.52,2.63,-0.54,1.66,-0.32,0.79,0.05,0.79,0.05,1.66,-0.32,2.13,-0.27,3.04,0.89,13.72,-8.73,13.72,-8.73,2.34,0.00
2024-01-01 07:30:00,1.80,-0.52,2.80,-0.54,5.31,-1.06,2.80,-0.54,1.80,-0.52,2.66,-0.53,1.68,-0.32,0.80,0.05,0.80,0.05,1.68,-0.32,2.17,-0.27,3.13,0.91,14.14,-8.72,14.14,-8.72,2.34,0.00
2024-01-01 08:00:00,1.90,-0.52,2.80,-0.54,5.61,-1.03,2.80,-0.54,1.90,-0.52,2.80,-0.52,1.72,-0.30,0.83,0.06,0.83,0.06,1.72,-0.30,2.20,-0.26,3.11,0.91,14.25,-8.60,14.25,-8.60,2.42,0.00
2024-01-01 08:30:00,1.94,-0.49,2.76,-0.52,5.80,-0.95,2.76,-0.52,1.94,-0.49,2.90,-0.48,1.72,-0.30,0.82,0.04,0.82,0.04,1.72,-0.30,2.20,-0.26,3.10,0.90,14.58,-8.59,14.58,-8.59,2.48,0.00
2024-01-01 09:00:00,1.98,-0.48,2.86,-0.54,6.13,-1.00,2.86,-0.54,1.98,-0.48,3.06,-0.50,1.75,-0.28,0.84,0.05,0.84,0.05,1.75,-0.28,2.33,-0.27,3.13,0.91,15.34,-8.53,15.34,-8.53,2.53,0.00
2024-01-01 09:30:00,2.08,-0.46,3.06,-0.56,6.45,-1.00,3.06,-0.56,2.08,-0.46,3.22,-0.50,1.86,-0.28,0.89,0.05,0.89,0.05,1.86,-0.28,2.41,-0.27,3.20,0.93,16.35,-8.27,16.35,-8.27,2.65,0.00
2024-01-01 10:00:00,2.27,-0.45,3.30,-0.52,7.00,-0.98,3.30,-0.52,2.27,-0.45,3.50,-0.49,1.98,-0.28,0.94,0.05,0.94,0.05,1.98,-0.28,2.51,-0.24,3.18,0.93,17.09,-8.06,17.09,-8.06,2.73,0.00
2024-01-01 10:30:00,2.38,-0.45,3.52,-0.50,7.46,-0.92,3.52,-0.50,2.38,-0.45,3.73,-0.46,2.06,-0.28,1.00,0.05,1.00,0.05,2.06,-0.28,2.64,-0.25,3.28,0.96,18.02,-7.96,18.02,-7.96,2.86,0.00
2024-01-01 11:00:00,2.37,-0.48,3.66,-0.50,8.06,-0.86,3.66,-0.50,2.37,-0.48,4.03,-0.43,2.18,-0.28,1.08,0.05,1.08,0.05,2.18,-0.28,2.72,-0.25,3.48,1.02,19.01,-7.69,19.01,-7.69,2.92,0.00
2024-01-01 11:30:00,2.48,-0.45,3.88,-0.48,8.66,-0.86,3.88,-0.48,2.48,-0.45,4.33,-0.43,2.31,-0.28,1.15,0.05,1.15,0.05,2.31,-0.28,2.78,-0.23,3.47,1.01,19.76,-7.42,19.76,-7.42,2.99,0.00
2024-01-01 12:00:00,2.62,-0.43,4.06,-0.48,9.06,-0.81,4.06,-0.48,2.62,-0.43,4.53,-0.40,2.42,-0.28,1.18,0.05,1.18,0.05,2.42,-0.28,2.96,-0.23,3.34,0.98,20.42,-7.30,20.42,-7.30,3.16,0.00
2024-01-01 12:30:00,2.72,-0.42,4.24,-0.42,9.46,-0.78,4.24,-0.42,2.72,-0.42,4.73,-0.39,2.51,-0.26,1.22,0.05,1.22,0.05,2.51,-0.26,2.98,-0.23,3.67,1.07,21.47,-7.05,21.47,-7.05,3.16,0.00
2024-01-01 13:00:00,2.81,-0.42,4.39,-0.44,10.09,-0.76,4.39,-0.44,2.81,-0.42,5.04,-0.38,2.59,-0.26,1.32,0.17,1.32,0.17,2.59,-0.26,3.06,-0.23,3.75,1.09,21.95,-6.96,21.95,-6.96,3.28,0.00
2024-01-01 13:30:00,2.81,-0.46,4.44,-0.42,10.60,-0.79,4.44,-0.42,2.81,-0.46,5.30,-0.40,2.63,-0.26,1.35,0.17,1.35,0.17,2.63,-0.26,3.06,-0.23,3.80,1.11,22.19,-6.89,22.19,-6.89,3.28,0.00
2024-01-01 14:00:00,2.88,-0.41,4.51,-0.38,10.65,-0.75,4.51,-0.38,2.88,-0.41,5.32,-0.38,2.63,-0.26,1.35,0.17,1.35,0.17,2.63,-0.26,2.99,-0.26,3.83,1.12,22.10,-7.01,22.10,-7.01,3.28,0.00
2024-01-01 14:30:00,2.84,-0.40,4.54,-0.42,10.52,-0.75,4.54,-0.42,2.84,-0.40,5.26,-0.38,2.63,-0.26,1.35,0.17,1.35,0.17,2.63,-0.26,2.99,-0.26,3.98,1.16,22.34,-7.03,22.34,-7.03,3.28,0.00
2024-01-01 15:00:00,2.87,-0.43,4.57,-0.47,10.55,-0.78,4.57,-0.47,2.87,-0.43,5.28,-0.39,2.68,-0.26,1.36,0.18,1.36,0.18,2.68,-0.26,2.99,-0.23,4.01,1.17,22.37,-6.98,22.37,-6.98,3.28,0.00
2024-01-01 15:30:00,2.84,-0.43,4.58,-0.47,10.60,-0.69,4.58,-0.47,2.84,-0.43,5.30,-0.34,2.68,-0.26,1.36,0.18,1.36,0.18,2.68,-0.26,3.08,-0.23,4.13,1.21,22.67,-6.96,22.67,-6.96,3.34,0.00
2024-01-01 16:00:00,2.92,-0.39,4.64,-0.44,10.69,-0.69,4.64,-0.44,2.92,-0.39,5.34,-0.34,2.68,-0.28,1.37,0.17,1.37,0.17,2.68,-0.28,3.12,-0.23,4.31,1.26,23.09,-6.95,23.09,-6.95,3.34,0.00
2024-01-01 16:30:00,2.97,-0.41,4.72,-0.44,10.91,-0.69,4.72,-0.44,2.97,-0.41,5.46,-0.34,2.68,-0.28,1.39,0.17,1.39,0.17,2.68,-0.28,3.28,-0.23,4.57,1.33,24.03,-6.86,24.03,-6.86,3.48,0.00
2024-01-01 17:00:00,3.01,-0.50,5.00,-0.46,11.41,-0.67,5.00,-0.46,3.01,-0.50,5.70,-0.34,2.84,-0.28,1.43,0.18,1.43,0.18,2.84,-0.28,3.33,-0.23,4.70,1.37,24.72,-6.71,24.72,-6.71,3.58,0.00
2024-01-01 17:30:00,3.08,-0.50,5.20,-0.43,11.91,-0.64,5.20,-0.43,3.08,-0.50,5.96,-0.32,2.86,-0.28,1.45,0.18,1.45,0.18,2.86,-0.28,3.45,-0.23,4.77,1.39,24.97,-6.72,24.97,-6.72,3.68,0.00
2024-01-01 18:00:00,3.10,-0.51,5.26,-0.43,12.05,-0.73,5.26,-0.43,3.10,-0.51,6.02,-0.36,2.92,-0.28,1.45,0.18,1.45,0.18,2.92,-0.28,3.42,-0.23,4.69,1.37,24.87,-6.76,24.87,-6.76,3.68,0.00
2024-01-01 18:30:00,3.04,-0.49,5.33,-0.39,12.11,-0.76,5.33,-0.39,3.04,-0.49,6.06,-0.38,2.81,-0.28,1.45,0.18,1.45,0.18,2.81,-0.28,3.30,-0.23,4.52,1.32,24.35,-6.92,24.35,-6.92,3.56,0.00
2024-01-01 19:00:00,3.02,-0.48,5.22,-0.42,11.88,-0.76,5.22,-0.42,3.02,-0.48,5.94,-0.38,2.76,-0.29,1.40,0.18,1.40,0.18,2.76,-0.29,3.26,-0.23,4.33,1.26,23.57,-7.19,23.57,-7.19,3.50,0.00
2024-01-01 19:30:00,2.98,-0.50,5.07,-0.44,11.28,-0.82,5.07,-0.44,2.98,-0.50,5.64,-0.41,2.71,-0.29,1.37,0.06,1.37,0.06,2.71,-0.29,3.15,-0.23,4.12,1.20,22.92,-7.28,22.92,-7.28,3.36,0.00
2024-01-01 20:00:00,2.94,-0.50,4.90,-0.42,10.92,-0.79,4.90,-0.42,2.94,-0.50,5.46,-0.40,2.65,-0.29,1.33,0.05,1.33,0.05,2.65,-0.29,3.08,-0.25,4.00,1.17,22.28,-7.50,22.28,-7.50,3.36,0.00
2024-01-01 20:30:00,2.86,-0.51,4.73,-0.42,10.71,-0.83,4.73,-0.42,2.86,-0.51,5.36,-0.42,2.60,-0.32,1.27,0.06,1.27,0.06,2.60,-0.32,3.03,-0.25,3.99,1.16,21.72,-7.68,21.72,-7.68,3.25,0.00
2024-01-01 21:00:00,2.80,-0.53,4.55,-0.46,10.42,-0.93,4.55,-0.46,2.80,-0.53,5.21,-0.46,2.53,-0.32,1.22,0.06,1.22,0.06,2.53,-0.32,2.94,-0.25,3.85,1.12,20.91,-7.94,20.91,-7.94,3.14,0.00
2024-01-01 21:30:00,2.72,-0.53,4.35,-0.50,9.84,-0.97,4.35,-0.50,2.72,-0.53,4.92,-0.48,2.51,-0.33,1.18,0.06,1.18,0.06,2.51,-0.33,2.79,-0.25,3.68,1.07,20.24,-8.14,20.24,-8.14,2.99,0.00
2024-01-01 22:00:00,2.65,-0.55,4.14,-0.54,9.54,-0.95,4.14,-0.54,2.65,-0.55,4.77,-0.48,2.44,-0.33,1.15,0.06,1.15,0.06,2.44,-0.33,2.64,-0.27,3.55,1.04,19.20,-8.37,19.20,-8.37,2.84,0.00
2024-01-01 22:30:00,2.50,-0.55,3.92,-0.56,8.96,-0.91,3.92,-0.56,2.50,-0.55,4.48,-0.46,2.36,-0.33,1.03,0.06,1.03,0.06,2.36,-0.33,2.45,-0.29,3.39,0.99,18.06,-8.58,18.06,-8.58,2.71,0.00
2024-01-01 23:00:00,2.35,-0.55,3.68,-0.60,8.39,-0.94,3.68,-0.60,2.35,-0.55,4.20,-0.47,2.20,-0.34,1.03,0.06,1.03,0.06,2.20,-0.34,2.37,-0.32,3.25,0.95,16.95,-8.68,16.95,-8.68,2.58,0.00
2024-01-01 23:30:00,2.27,-0.50,3.46,-0.62,7.80,-0.99,3.46,-0.62,2.27,-0.50,3.90,-0.50,2.06,-0.36,0.95,0.05,0.95,0.05,2.06,-0.36,2.16,-0.34,3.15,0.92,15.87,-8.80,15.87,-8.80,2.36,0.00
2024-01-02 00:00:00,2.14,-0.50,3.22,-0.62,7.15,-1.06,3.22,-0.62,2.14,-0.50,3.58,-0.53,1.94,-0.32,0.88,0.05,0.88,0.05,1.94,-0.32,2.09,-0.34,3.00,0.88,14.99,-8.80,14.99,-8.80,2.36,0.00
2024-01-02 00:30:00,2.02,-0.49,3.02,-0.62,6.60,-1.06,3.02,-0.62,2.02,-0.49,3.30,-0.53,1.91,-0.32,0.79,0.05,0.79,0.05,1.91,-0.32,2.05,-0.34,3.00,0.88,14.56,-8.85,14.56,-8.85,2.36,0.00
2024-01-02 01:00:00,1.94,-0.51,3.04,-0.64,6.24,-1.18,3.04,-0.64,1.94,-0.51,3.12,-0.59,1.84,-0.33,0.85,0.04,0.85,0.04,1.84,-0.33,2.05,-0.32,3.19,0.93,15.30,-8.55,15.30,-8.55,2.36,0.00
2024-01-02 01:30:00,1.94,-0.49,3.39,-0.61,6.46,-1.04,3.39,-0.61,1.94,-0.49,3.23,-0.52,1.86,-0.33,0.85,0.05,0.85,0.05,1.86,-0.33,2.00,-0.32,3.20,0.93,15.09,-8.60,15.09,-8.60,2.24,0.00
2024-01-02 02:00:00,1.89,-0.49,3.36,-0.61,6.32,-1.02,3.36,-0.61,1.89,-0.49,3.16,-0.51,1.81,-0.33,0.81,0.04,0.81,0.04,1.81,-0.33,1.97,-0.32,3.22,0.94,14.71,-8.65,14.71,-8.65,2.19,0.00
2024-01-02 02:30:00,1.85,-0.49,3.26,-0.62,6.05,-0.97,3.26,-0.62,1.85,-0.49,3.02,-0.48,1.79,-0.32,0.78,0.05,0.78,0.05,1.79,-0.32,1.92,-0.32,3.14,0.92,14.36,-8.64,14.36,-8.64,2.19,0.00
2024-01-02 03:00:00,1.79,-0.49,3.18,-0.62,5.87,-0.97,3.18,-0.62,1.79,-0.49,2.94,-0.48,1.79,-0.30,0.78,0.05,0.78,0.05,1.79,-0.30,1.89,-0.32,3.09,0.90,14.01,-8.70,14.01,-8.70,2.19,0.00
2024-01-02 03:30:00,1.74,-0.49,3.04,-0.62,5.74,-1.00,3.04,-0.62,1.74,-0.49,2.87,-0.50,1.78,-0.29,0.76,0.05,0.76,0.05,1.78,-0.29,1.89,-0.32,3.33,0.97,13.82,-8.72,13.82,-8.72,2.19,0.00
2024-01-02 04:00:00,1.71,-0.48,2.88,-0.62,5.48,-1.03,2.88,-0.62,1.71,-0.48,2.74,-0.52,1.83,-0.26,0.74,0.05,0.74,0.05,1.83,-0.26,1.84,-0.32,3.38,0.99,13.53,-8.68,13.53,-8.68,2.09,0.00
2024-01-02 04:30:00,1.71,-0.44,2.74,-0.60,5.16,-1.07,2.74,-0.60,1.71,-0.44,2.58,-0.54,1.85,-0.26,0.71,0.05,0.71,0.05,1.85,-0.26,1.90,-0.32,3.24,0.94,13.89,-8.42,13.89,-8.42,2.09,0.00
2024-01-02 05:00:00,1.70,-0.44,2.72,-0.60,5.35,-0.94,2.72,-0.60,1.70,-0.44,2.68,-0.47,1.85,-0.25,0.90,-0.01,0.90,-0.01,1.85,-0.25,1.90,-0.32,3.26,0.95,14.76,-8.22,14.76,-8.22,2.16,0.00
2024-01-02 05:30:00,1.72,-0.44,2.68,-0.62,5.67,-0.82,2.68,-0.62,1.72,-0.44,2.84,-0.41,2.02,-0.23,1.18,0.20,1.18,0.20,2.02,-0.23,1.95,-0.32,3.27,0.95,18.00,-7.06,18.00,-7.06,2.16,0.00
2024-01-02 06:00:00,1.82,-0.41,2.72,-0.60,6.32,-0.73,2.72,-0.60,1.82,-0.41,3.16,-0.36,2.16,-0.23,2.55,-0.03,2.55,-0.03,2.16,-0.23,2.00,-0.32,3.42,1.00,18.61,-6.83,18.61,-6.83,2.23,0.00
2024-01-02 06:30:00,2.13,-0.30,2.94,-0.56,7.12,-0.70,2.94,-0.56,2.13,-0.30,3.56,-0.35,2.35,0.00,2.23,-0.02,2.23,-0.02,2.35,0.00,2.34,-0.24,4.05,1.18,20.52,-5.84,20.52,-5.84,2.63,0.00
2024-01-02 07:00:00,2.43,-0.19,3.34,-0.43,7.78,-0.25,3.34,-0.43,2.43,-0.19,3.89,-0.12,2.85,0.23,2.14,0.00,2.14,0.00,2.85,0.23,2.63,-0.22,4.53,1.32,24.08,-4.29,24.08,-4.29,2.99,0.00
2024-01-02 07:30:00,2.70,0.08,3.60,-0.34,8.90,0.57,3.60,-0.34,2.70,0.08,4.45,0.28,3.38,0.28,2.94,0.00,2.94,0.00,3.38,0.28,2.92,-0.22,5.14,1.50,27.57,-3.10,27.57,-3.10,3.45,0.00
2024-01-02 08:00:00,3.03,0.09,3.82,-0.28,9.67,0.76,3.82,-0.28,3.03,0.09,4.84,0.38,5.02,0.64,3.16,0.00,3.16,0.00,5.02,0.64,3.12,-0.22,5.98,1.74,27.03,-3.22,27.03,-3.22,3.79,0.00
2024-01-02 08:30:00,3.39,0.16,4.02,-0.22,10.36,0.96,4.02,-0.22,3.39,0.16,5.18,0.48,4.70,0.62,2.20,0.04,2.20,0.04,4.70,0.62,3.44,0.00,7.01,2.05,28.23,-2.56,28.23,-2.56,4.36,0.00
2024-01-02 09:00:00,3.63,0.18,4.32,-0.20,10.67,1.23,4.32,-0.20,3.63,0.18,5.34,0.62,4.35,0.58,2.21,0.04,2.21,0.04,4.35,0.58,3.59,0.22,7.37,2.15,31.48,-1.05,31.48,-1.05,4.78,0.67
2024-01-02 09:30:00,3.81,0.27,4.50,-0.20,11.49,1.45,4.50,-0.20,3.81,0.27,5.74,0.72,5.90,1.09,2.48,0.05,2.48,0.05,5.90,1.09,3.91,0.22,7.46,2.18,31.56,-0.99,31.56,-0.99,5.23,0.67
2024-01-02 10:00:00,4.00,0.27,4.74,-0.16,11.44,1.36,4.74,-0.16,4.00,0.27,5.72,0.68,4.56,0.79,2.84,0.03,2.84,0.03,4.56,0.79,4.15,0.28,7.82,2.28,32.62,-0.71,32.62,-0.71,5.44,0.79
2024-01-02 10:30:00,4.05,0.23,4.86,0.00,11.80,1.30,4.86,0.00,4.05,0.23,5.90,0.65,4.72,0.88,2.93,0.03,2.93,0.03,4.72,0.88,4.15,0.31,7.58,2.21,33.56,-0.52,33.56,-0.52,5.27,0.67
2024-01-02 11:00:00,4.11,0.26,4.94,-0.06,12.31,1.41,4.94,-0.06,4.11,0.26,6.16,0.70,4.93,0.84,3.24,0.02,3.24,0.02,4.93,0.84,4.23,0.31,8.05,2.35,33.91,-0.22,33.91,-0.22,5.27,0.67
2024-01-02 11:30:00,4.23,0.30,5.15,0.24,12.64,1.50,5.15,0.24,4.23,0.30,6.32,0.75,4.80,0.86,3.06,0.04,3.06,0.04,4.80,0.86,4.38,0.31,8.33,2.43,34.37,-0.09,34.37,-0.09,5.46,0.92
2024-01-02 12:00:00,4.50,0.35,5.30,0.24,12.22,1.53,5.30,0.24,4.50,0.35,6.11,0.76,4.86,0.86,3.04,0.04,3.04,0.04,4.86,0.86,4.41,0.31,8.43,2.46,34.95,0.17,34.95,0.17,5.73,0.77
2024-01-02 12:30:00,4.51,0.35,5.37,0.24,12.77,1.71,5.37,0.24,4.51,0.35,6.38,0.86,4.95,0.89,3.03,0.05,3.03,0.05,4.95,0.89,4.41,0.31,8.15,2.38,35.04,0.14,35.04,0.14,5.89,0.67
2024-01-02 13:00:00,4.47,0.34,5.54,0.24,13.25,1.81,5.54,0.24,4.47,0.34,6.62,0.90,4.75,0.81,3.01,0.05,3.01,0.05,4.75,0.81,4.41,0.28,8.49,2.47,34.60,-0.40,34.60,-0.40,6.03,0.67
2024-01-02 13:30:00,4.47,0.28,5.49,0.25,12.84,1.68,5.49,0.25,4.47,0.28,6.42,0.84,4.57,0.66,2.88,0.05,2.88,0.05,4.57,0.66,4.42,0.28,8.36,2.44,32.93,-1.12,32.93,-1.12,5.96,0.67
2024-01-02 14:00:00,4.36,0.24,5.49,0.25,12.11,1.30,5.49,0.25,4.36,0.24,6.06,0.65,4.63,0.76,2.28,0.08,2.28,0.08,4.63,0.76,4.36,0.28,8.68,2.53,32.41,-1.24,32.41,-1.24,5.35,0.67
2024-01-02 14:30:00,4.34,0.24,5.42,0.22,12.03,1.20,5.42,0.22,4.34,0.24,6.02,0.60,4.54,0.73,2.18,0.08,2.18,0.08,4.54,0.73,4.31,0.24,8.35,2.44,31.76,-1.67,31.76,-1.67,4.99,0.67
2024-01-02 15:00:00,4.35,0.26,5.40,0.19,12.03,1.17,5.40,0.19,4.35,0.26,6.02,0.58,4.43,0.69,2.06,0.08,2.06,0.08,4.43,0.69,4.19,0.24,8.22,2.40,31.58,-1.64,31.58,-1.64,4.99,0.00
2024-01-02 15:30:00,4.25,0.23,5.32,0.18,12.08,1.17,5.32,0.18,4.25,0.23,6.04,0.58,4.46,0.74,2.09,0.08,2.09,0.08,4.46,0.74,4.28,0.22,8.43,2.46,32.26,-1.70,32.26,-1.70,5.50,0.78
2024-01-02 16:00:00,4.33,0.21,5.37,-0.02,12.46,1.25,5.37,-0.02,4.33,0.21,6.23,0.62,4.43,0.68,2.07,0.08,2.07,0.08,4.43,0.68,4.30,0.22,7.69,2.24,31.89,-2.48,31.89,-2.48,6.21,0.71
2024-01-02 16:30:00,4.11,-0.03,5.44,-0.20,12.62,1.25,5.44,-0.20,4.11,-0.03,6.31,0.62,4.36,0.55,1.98,0.05,1.98,0.05,4.36,0.55,4.04,-0.22,7.24,2.11,31.46,-3.40,31.46,-3.40,5.46,0.71
2024-01-02 17:00:00,3.98,-0.20,5.60,-0.26,13.01,1.01,5.60,-0.26,3.98,-0.20,6.50,0.50,4.44,0.47,1.95,0.14,1.95,0.14,4.44,0.47,3.92,-0.22,7.22,2.10,31.84,-3.51,31.84,-3.51,5.31,0.71
2024-01-02 17:30:00,4.01,-0.20,5.77,-0.26,13.42,0.78,5.77,-0.26,4.01,-0.20,6.71,0.39,4.40,0.39,1.99,0.15,1.99,0.15,4.40,0.39,3.87,-0.22,7.05,2.06,31.62,-3.80,31.62,-3.80,5.17,0.71
2024-01-02 18:00:00,3.83,-0.26,5.86,-0.27,13.69,0.57,5.86,-0.27,3.83,-0.26,6.84,0.28,4.22,0.31,2.01,0.14,2.01,0.14,4.22,0.31,3.66,-0.22,6.79,1.98,31.21,-4.10,31.21,-4.10,5.38,0.00
2024-01-02 18:30:00,3.68,-0.33,5.92,-0.30,13.41,0.57,5.92,-0.30,3.68,-0.33,6.70,0.28,4.18,0.30,1.99,0.13,1.99,0.13,4.18,0.30,3.54,-0.22,7.18,2.10,30.52,-4.43,30.52,-4.43,4.83,0.00
2024-01-02 19:00:00,3.55,-0.35,5.81,-0.34,13.15,0.39,5.81,-0.34,3.55,-0.35,6.58,0.20,4.08,0.29,1.92,0.11,1.92,0.11,4.08,0.29,3.43,-0.22,6.93,2.02,29.68,-4.48,29.68,-4.48,4.52,0.67
2024-01-02 19:30:00,3.51,-0.36,5.66,-0.38,13.07,0.59,5.66,-0.38,3.51,-0.36,6.54,0.29,3.95,0.27,1.85,0.11,1.85,0.11,3.95,0.27,3.33,-0.22,6.66,1.94,28.87,-4.64,28.87,-4.64,4.52,0.00
2024-01-02 20:00:00,3.42,-0.38,5.46,-0.38,12.58,0.54,5.46,-0.38,3.42,-0.38,6.29,0.27,3.85,0.24,1.82,0.10,1.82,0.10,3.85,0.24,3.23,-0.22,6.63,1.94,28.03,-4.92,28.03,-4.92,4.61,0.00
2024-01-02 20:30:00,3.25,-0.42,5.23,-0.40,12.00,0.54,5.23,-0.40,3.25,-0.42,6.00,0.27,3.85,0.24,1.74,0.20,1.74,0.20,3.85,0.24,3.14,-0.22,6.26,1.82,27.26,-5.14,27.26,-5.14,4.93,0.00
2024-01-02 21:00:00,3.20,-0.39,4.95,-0.44,11.56,0.55,4.95,-0.44,3.20,-0.39,5.78,0.28,3.76,0.28,1.69,0.22,1.69,0.22,3.76,0.28,2.97,-0.22,6.27,1.83,26.47,-5.20,26.47,-5.20,4.56,0.00
2024-01-02 21:30:00,3.10,-0.40,4.73,-0.48,11.17,0.55,4.73,-0.48,3.10,-0.40,5.58,0.28,3.73,0.30,1.63,0.20,1.63,0.20,3.73,0.30,2.89,-0.22,5.92,1.73,25.38,-5.58,25.38,-5.58,4.41,0.00
2024-01-02 22:00:00,3.01,-0.40,4.55,-0.46,10.53,0.50,4.55,-0.46,3.01,-0.40,5.26,0.25,3.70,0.32,1.54,0.22,1.54,0.22,3.70,0.32,2.76,-0.29,5.76,1.68,24.05,-6.17,24.05,-6.17,4.26,0.00
2024-01-02 22:30:00,2.83,-0.46,4.34,-0.48,9.98,-0.58,4.34,-0.48,2.83,-0.46,4.99,-0.29,3.45,0.26,1.43,0.13,1.43,0.13,3.45,0.26,2.66,-0.29,5.49,1.60,22.50,-6.65,22.50,-6.65,4.26,0.67
2024-01-02 23:00:00,2.62,-0.46,4.02,-0.55,9.27,-0.71,4.02,-0.55,2.62,-0.46,4.64,-0.36,3.20,0.23,1.31,0.14,1.31,0.14,3.20,0.23,2.44,-0.32,5.13,1.50,21.17,-6.92,21.17,-6.92,3.76,0.00
2024-01-02 23:30:00,2.51,-0.39,3.70,-0.56,8.48,-0.74,3.70,-0.56,2.51,-0.39,4.24,-0.37,3.26,0.23,1.23,0.14,1.23,0.14,3.26,0.23,2.20,-0.34,5.27,1.54,20.13,-7.10,20.13,-7.10,3.93,0.00
2024-01-03 00:00:00,2.30,-0.44,3.43,-0.58,7.66,-0.81,3.43,-0.58,2.30,-0.44,3.83,-0.40,3.15,0.23,1.15,0.03,1.15,0.03,3.15,0.23,2.07,-0.34,5.11,1.49,19.21,-7.27,19.21,-7.27,3.93,0.00
2024-01-03 00:30:00,2.17,-0.44,3.22,-0.61,7.13,-0.86,3.22,-0.61,2.17,-0.44,3.56,-0.43,3.06,0.23,1.09,0.03,1.09,0.03,3.06,0.23,1.98,-0.34,4.89,1.43,18.72,-7.32,18.72,-7.32,3.85,0.00
