Power Units_Bus Number,MW_7044,MVAr_7044,MW_7210,MVAr_7210,MW_7263,MVAr_7263,MW_7297,MVAr_7297,MW_7555,MVAr_7555,MW_7573,MVAr_7573,MW_7780,MVAr_7780,MW_7921,MVAr_7921,MW_11005,MVAr_11005,MW_891100,MVAr_891100,MW_893502,MVAr_893502
2024-01-01 00:30:00,6.06,1.99,2.68,0.88,3.89,1.28,4.19,1.38,3.32,0.43,5.55,-0.37,3.00,0.99,7.42,2.44,0.00,0.00,39.40,-19.46,38.88,0.00
2024-01-01 01:00:00,6.42,2.11,2.56,0.84,3.92,1.29,4.43,1.46,3.39,0.59,6.05,-0.36,3.03,1.00,7.52,2.47,0.26,0.00,41.04,-18.88,40.48,0.00
2024-01-01 01:30:00,6.07,2.00,2.39,0.79,3.85,1.26,4.30,1.41,3.32,0.61,5.85,-0.38,2.88,0.95,7.37,2.42,0.00,0.00,39.79,-19.22,39.22,0.00
2024-01-01 02:00:00,5.90,1.94,2.23,0.73,3.77,1.24,4.11,1.35,3.06,0.61,5.62,-0.37,2.79,0.92,7.18,2.36,0.00,0.00,38.19,-19.76,37.65,0.00
2024-01-01 02:30:00,5.73,1.88,2.52,0.83,3.72,1.22,3.94,1.30,2.98,0.61,5.60,-0.39,2.79,0.92,7.08,2.33,0.00,0.00,37.61,-19.92,37.08,0.00
2024-01-01 03:00:00,5.57,1.83,2.38,0.78,3.64,1.20,3.81,1.25,2.93,0.61,5.51,-0.39,2.66,0.87,6.90,2.27,0.00,0.00,36.50,-20.26,35.98,0.00
2024-01-01 03:30:00,5.33,1.75,2.29,0.75,3.54,1.16,3.80,1.25,2.81,0.61,5.28,-0.41,2.53,0.83,6.70,2.20,0.00,0.00,35.01,-20.26,34.50,0.00
2024-01-01 04:00:00,5.03,1.65,2.15,0.71,3.42,1.12,3.57,1.17,2.68,0.61,4.95,-0.44,2.33,0.76,6.45,2.12,0.00,0.00,33.33,-20.67,32.85,0.00
2024-01-01 04:30:00,5.02,1.65,1.69,0.56,3.38,1.11,3.50,1.15,2.56,0.61,4.59,-0.43,2.30,0.76,6.38,2.10,0.00,0.00,32.31,-20.80,31.83,0.00
2024-01-01 05:00:00,4.74,1.56,1.62,0.53,3.38,1.11,3.29,1.08,2.45,0.61,4.35,-0.43,2.29,0.75,6.33,2.08,0.00,0.00,31.28,-20.80,30.84,0.00
2024-01-01 05:30:00,4.80,1.58,1.97,0.65,3.38,1.11,3.20,1.05,2.45,0.61,4.20,-0.42,2.29,0.75,6.38,2.10,0.00,0.00,31.11,-20.65,30.66,0.00
2024-01-01 06:00:00,4.78,1.57,2.04,0.67,3.39,1.11,3.11,1.02,2.48,0.61,4.20,-0.41,2.29,0.75,6.43,2.12,0.00,0.00,31.20,-20.52,30.74,0.00
2024-01-01 06:30:00,4.92,1.62,2.14,0.70,3.56,1.17,3.24,1.07,2.59,0.61,4.29,-0.47,2.34,0.77,6.84,2.25,0.00,0.00,32.69,-19.92,32.24,0.00
2024-01-01 07:00:00,5.09,1.67,1.79,0.59,3.75,1.23,3.28,1.08,2.67,0.61,4.25,-0.50,2.43,0.80,7.22,2.37,0.20,0.00,33.56,-19.61,33.08,0.00
2024-01-01 07:30:00,5.15,1.69,1.85,0.61,3.82,1.26,3.30,1.08,2.59,0.61,4.10,-0.50,2.53,0.83,7.37,2.42,0.00,0.00,34.09,-19.70,33.61,0.00
2024-01-01 08:00:00,5.09,1.67,1.95,0.64,3.81,1.25,3.33,1.10,2.64,0.61,4.00,-0.50,2.53,0.83,7.37,2.42,0.00,0.00,34.42,-19.50,33.94,0.00
2024-01-01 08:30:00,5.16,1.70,2.06,0.68,3.93,1.29,3.45,1.13,2.78,0.61,4.10,-0.50,2.70,0.89,7.63,2.51,0.00,0.00,35.70,-19.26,35.21,0.00
2024-01-01 09:00:00,5.44,1.79,2.21,0.73,4.06,1.34,3.70,1.22,3.00,0.61,4.31,-0.50,2.96,0.97,7.88,2.59,0.00,0.00,37.49,-18.98,36.98,0.00
2024-01-01 09:30:00,5.72,1.88,2.33,0.76,4.28,1.41,3.87,1.27,3.21,0.61,4.56,-0.47,3.15,1.04,8.33,2.74,0.00,0.00,39.60,-18.38,39.07,0.00
2024-01-01 10:00:00,5.98,1.96,2.44,0.80,4.42,1.45,3.98,1.31,3.39,0.61,4.52,-0.47,3.29,1.08,8.62,2.83,0.41,0.00,40.93,-17.93,40.37,0.00
2024-01-01 10:30:00,6.19,2.04,2.79,0.92,4.61,1.51,4.21,1.38,3.62,0.61,4.62,-0.48,3.54,1.16,8.95,2.94,0.41,0.00,42.84,-17.50,42.26,0.00
2024-01-01 11:00:00,6.35,2.09,2.97,0.98,4.68,1.54,4.32,1.42,3.76,0.61,4.80,-0.48,3.61,1.19,9.10,2.99,0.41,0.00,43.94,-16.94,43.34,0.00
2024-01-01 11:30:00,6.39,2.10,2.81,0.92,4.80,1.58,4.45,1.46,3.82,0.56,4.91,-0.44,3.65,1.20,9.39,3.09,0.41,0.00,44.92,-16.66,44.31,0.00
2024-01-01 12:00:00,6.58,2.16,2.87,0.94,4.84,1.59,4.49,1.48,3.88,0.56,5.07,-0.42,3.76,1.24,9.46,3.11,0.41,0.00,45.77,-16.58,45.14,0.00
2024-01-01 12:30:00,6.75,2.22,2.90,0.95,4.85,1.59,4.71,1.55,4.10,0.56,5.22,-0.39,3.88,1.28,9.47,3.11,0.41,0.00,46.79,-16.18,46.16,0.00
2024-01-01 13:00:00,6.81,2.24,2.99,0.98,4.86,1.60,4.76,1.56,4.10,0.56,5.27,-0.39,4.02,1.32,9.50,3.12,0.41,0.00,47.30,-16.01,46.65,0.00
2024-01-01 13:30:00,6.81,2.24,3.00,0.99,4.87,1.60,4.84,1.59,4.10,0.56,5.27,-0.42,4.08,1.34,9.53,3.13,0.41,0.00,47.49,-15.96,46.85,0.00
2024-01-01 14:00:00,6.91,2.27,3.10,1.02,4.88,1.60,4.98,1.64,4.20,0.56,5.25,-0.42,4.08,1.34,9.55,3.14,0.41,0.00,47.83,-15.93,47.17,0.00
2024-01-01 14:30:00,7.00,2.30,3.20,1.05,4.91,1.61,4.89,1.61,4.19,0.56,5.33,-0.42,4.05,1.33,9.58,3.15,0.41,0.00,48.11,-16.03,47.47,0.00
2024-01-01 15:00:00,6.91,2.27,4.74,1.56,4.92,1.62,4.86,1.60,4.24,0.56,5.33,-0.44,4.03,1.32,9.58,3.15,0.41,0.00,49.83,-15.50,49.14,0.00
2024-01-01 15:30:00,7.01,2.30,4.85,1.60,4.89,1.61,5.03,1.65,4.27,0.56,5.39,-0.45,4.03,1.32,9.52,3.13,0.41,0.00,50.22,-15.50,49.54,0.00
2024-01-01 16:00:00,7.28,2.39,4.96,1.63,4.98,1.64,5.09,1.67,4.38,0.60,5.49,-0.43,4.20,1.38,9.70,3.19,0.44,0.00,51.12,-15.32,50.43,0.00
2024-01-01 16:30:00,7.84,2.58,5.20,1.71,5.13,1.69,5.34,1.76,4.73,0.60,5.58,-0.43,4.35,1.43,9.98,3.28,0.48,0.00,53.26,-14.84,52.53,0.00
2024-01-01 17:00:00,8.18,2.69,5.42,1.78,5.10,1.68,5.56,1.83,5.02,0.60,5.86,-0.43,4.58,1.50,9.96,3.27,0.48,0.00,55.08,-14.34,54.32,0.00
2024-01-01 17:30:00,8.46,2.78,5.49,1.80,4.92,1.62,5.93,1.95,5.27,0.60,6.11,-0.42,4.64,1.53,9.58,3.15,0.52,0.00,56.33,-14.51,55.55,0.00
2024-01-01 18:00:00,8.79,2.89,5.49,1.80,4.87,1.60,5.97,1.96,5.41,0.60,6.28,-0.40,4.72,1.55,9.48,3.12,0.52,0.00,56.99,-14.37,56.20,0.00
2024-01-01 18:30:00,8.87,2.92,5.46,1.80,4.78,1.57,5.99,1.97,5.34,0.58,6.27,-0.38,4.62,1.52,9.24,3.04,0.48,0.00,56.29,-14.88,55.51,0.00
2024-01-01 19:00:00,8.67,2.85,5.24,1.72,4.76,1.56,5.77,1.90,5.26,0.31,6.14,-0.24,4.39,1.44,9.17,3.02,0.48,0.00,54.67,-15.37,53.89,0.00
2024-01-01 19:30:00,8.43,2.77,5.20,1.71,4.65,1.53,5.40,1.77,4.98,0.31,6.01,-0.24,4.17,1.37,8.92,2.93,0.42,0.00,52.58,-15.77,51.85,0.00
2024-01-01 20:00:00,7.88,2.59,5.01,1.65,4.64,1.52,5.27,1.73,4.73,0.33,5.83,-0.27,4.05,1.33,8.93,2.94,0.42,0.00,50.98,-16.44,50.25,0.00
2024-01-01 20:30:00,7.35,2.42,4.61,1.51,4.33,1.42,4.89,1.61,4.46,0.60,5.54,-0.47,3.90,1.28,8.32,2.74,0.42,0.00,48.09,-17.21,47.42,0.00
2024-01-01 21:00:00,6.94,2.28,4.42,1.45,4.17,1.37,4.72,1.55,4.23,0.61,5.32,-0.47,3.75,1.23,7.98,2.62,0.42,0.00,45.96,-17.78,45.31,0.00
2024-01-01 21:30:00,6.56,2.16,4.30,1.41,4.04,1.33,4.50,1.48,3.92,0.64,5.11,-0.47,3.53,1.16,7.72,2.54,0.42,0.00,43.99,-18.66,43.36,0.00
2024-01-01 22:00:00,6.26,2.06,4.04,1.33,3.91,1.29,4.23,1.39,3.64,0.70,4.87,-0.48,3.29,1.08,7.45,2.45,0.42,0.00,41.82,-19.03,41.21,0.00
2024-01-01 22:30:00,5.81,1.91,3.88,1.27,3.69,1.21,3.98,1.31,3.38,0.70,4.52,-0.48,3.12,1.03,6.97,2.29,0.42,0.00,39.16,-19.55,38.60,0.00
2024-01-01 23:00:00,5.44,1.79,3.62,1.19,3.53,1.16,3.67,1.21,3.09,0.70,4.39,-0.48,2.89,0.95,6.63,2.18,0.00,0.00,36.77,-19.75,36.24,0.00
2024-01-01 23:30:00,5.08,1.67,3.48,1.14,3.45,1.13,3.50,1.15,2.87,0.70,4.17,-0.47,2.75,0.90,6.50,2.14,0.00,0.00,35.19,-19.89,34.68,0.00
2024-01-02 00:00:00,5.01,1.65,3.42,1.12,3.38,1.11,3.44,1.13,2.75,0.59,4.06,-0.47,2.56,0.84,6.34,2.08,0.00,0.00,34.31,-19.89,33.84,0.00
2024-01-02 00:30:00,5.55,1.82,3.88,1.27,3.50,1.15,3.96,1.30,3.02,0.59,5.13,-0.49,2.78,0.92,6.58,2.16,0.00,0.00,38.09,-19.40,37.58,0.00
2024-01-02 01:00:00,5.69,1.87,3.94,1.30,3.52,1.16,4.18,1.37,3.06,0.59,5.57,-0.47,2.78,0.92,6.64,2.18,0.00,0.00,39.09,-18.90,38.54,0.00
2024-01-02 01:30:00,5.44,1.79,3.85,1.26,3.49,1.15,4.04,1.33,2.94,0.59,5.44,-0.50,2.78,0.92,6.60,2.17,0.00,0.00,38.21,-19.26,37.68,0.00
2024-01-02 02:00:00,5.29,1.74,3.73,1.23,3.42,1.12,3.94,1.30,2.84,0.59,5.38,-0.50,2.59,0.85,6.45,2.12,0.00,0.00,37.21,-19.52,36.68,0.00
2024-01-02 02:30:00,5.11,1.68,3.72,1.22,3.39,1.12,3.75,1.23,2.78,0.59,5.32,-0.50,2.55,0.84,6.38,2.10,0.00,0.00,36.60,-19.67,36.08,0.00
2024-01-02 03:00:00,5.02,1.65,3.79,1.25,3.37,1.11,3.62,1.19,2.72,0.59,5.28,-0.50,2.40,0.79,6.33,2.08,0.00,0.00,35.80,-19.85,35.29,0.00
2024-01-02 03:30:00,4.84,1.59,3.76,1.24,3.30,1.09,3.45,1.13,2.60,0.59,4.93,-0.50,2.30,0.76,6.20,2.04,0.00,0.00,34.47,-20.04,33.99,0.00
2024-01-02 04:00:00,4.63,1.52,3.63,1.19,3.22,1.06,3.33,1.10,2.40,0.62,4.70,-0.49,2.26,0.74,5.99,1.97,0.00,0.00,33.03,-20.26,32.54,0.00
2024-01-02 04:30:00,4.49,1.48,3.61,1.19,3.19,1.05,3.18,1.05,2.30,0.63,4.56,-0.49,2.25,0.74,5.94,1.95,0.00,0.00,32.39,-20.39,31.93,0.00
2024-01-02 05:00:00,4.44,1.46,3.50,1.15,3.21,1.05,3.08,1.01,2.21,0.67,4.26,-0.48,2.25,0.74,5.97,1.96,0.00,0.00,31.64,-20.63,31.19,0.00
2024-01-02 05:30:00,4.58,1.50,3.44,1.13,3.25,1.07,3.07,1.01,2.34,0.62,4.17,-0.48,2.35,0.77,6.10,2.00,0.00,0.00,32.08,-20.33,31.61,0.00
2024-01-02 06:00:00,4.62,1.52,3.52,1.16,3.34,1.10,3.07,1.01,2.39,0.62,4.10,-0.48,2.50,0.82,6.28,2.06,0.00,0.00,32.77,-20.11,32.32,0.00
2024-01-02 06:30:00,5.02,1.65,3.72,1.22,3.58,1.18,3.40,1.12,2.69,0.62,4.27,-0.48,2.71,0.89,6.85,2.25,0.00,0.00,35.80,-18.88,35.31,0.00
2024-01-02 07:00:00,5.25,1.73,4.12,1.36,3.80,1.25,3.68,1.21,2.96,0.60,4.55,-0.46,2.98,0.98,7.32,2.41,0.00,0.00,38.50,-18.26,37.98,0.00
2024-01-02 07:30:00,5.56,1.83,4.30,1.41,4.07,1.34,4.33,1.42,3.26,0.57,4.48,-0.46,3.27,1.07,7.84,2.58,0.00,0.00,41.62,-17.47,41.06,0.00
2024-01-02 08:00:00,5.80,1.91,4.25,1.40,4.26,1.40,4.95,1.63,3.45,0.57,4.52,-0.46,3.43,1.13,8.26,2.71,0.00,0.00,44.07,-16.75,43.47,0.00
2024-01-02 08:30:00,6.14,2.02,4.49,1.48,4.65,1.53,5.09,1.67,3.62,0.57,4.78,-0.45,3.73,1.23,9.04,2.97,0.41,0.00,47.09,-15.93,46.46,0.00
2024-01-02 09:00:00,6.36,2.09,4.37,1.44,4.98,1.64,5.06,1.66,3.74,0.55,5.09,-0.42,3.81,1.25,9.72,3.19,0.41,0.00,48.80,-15.48,48.13,0.00
2024-01-02 09:30:00,6.55,2.15,3.32,1.09,5.36,1.76,5.22,1.71,3.80,0.56,5.42,-0.41,3.94,1.30,10.48,3.44,0.41,0.00,49.64,-15.06,48.97,0.00
2024-01-02 10:00:00,6.70,2.20,3.36,1.10,5.51,1.81,5.30,1.74,3.89,0.56,5.62,-0.39,4.07,1.34,10.76,3.54,0.41,0.00,51.00,-14.74,50.30,0.00
2024-01-02 10:30:00,6.73,2.21,3.56,1.17,5.73,1.88,5.22,1.71,4.02,0.56,5.71,-0.39,4.21,1.38,11.21,3.69,0.41,0.00,52.29,-14.38,51.57,0.00
2024-01-02 11:00:00,6.74,2.22,3.60,1.18,5.88,1.93,5.22,1.71,4.07,0.55,5.79,-0.42,4.28,1.41,11.50,3.78,0.41,0.00,52.86,-14.02,52.13,0.00
2024-01-02 11:30:00,6.86,2.25,3.59,1.18,5.92,1.94,5.39,1.77,4.09,0.55,5.86,-0.38,4.34,1.43,11.57,3.80,0.41,0.00,53.31,-13.89,52.58,0.00
2024-01-02 12:00:00,6.74,2.21,3.73,1.23,5.94,1.95,5.29,1.74,4.15,0.52,5.93,-0.36,4.40,1.45,11.64,3.82,0.41,0.00,53.46,-13.63,52.73,0.00
2024-01-02 12:30:00,7.01,2.30,3.88,1.28,5.91,1.94,5.26,1.73,4.26,0.51,6.05,-0.37,4.47,1.47,11.58,3.81,0.41,0.00,53.93,-13.59,53.18,0.00
2024-01-02 13:00:00,7.13,2.34,3.92,1.29,5.93,1.95,5.34,1.76,4.32,0.51,5.97,-0.37,4.54,1.49,11.57,3.80,0.41,0.00,54.36,-13.69,53.61,0.00
2024-01-02 13:30:00,7.16,2.35,3.57,1.17,5.99,1.97,5.34,1.76,4.35,0.51,5.91,-0.38,4.34,1.43,11.73,3.85,0.41,0.00,54.16,-13.87,53.41,0.00
2024-01-02 14:00:00,6.99,2.30,3.37,1.11,5.99,1.97,5.05,1.66,4.22,0.51,5.86,-0.37,4.23,1.39,11.77,3.87,0.41,0.00,53.13,-14.19,52.38,0.00
2024-01-02 14:30:00,6.76,2.22,3.29,1.08,5.98,1.96,5.04,1.66,4.14,0.51,5.66,-0.41,4.18,1.37,11.75,3.86,0.41,0.00,52.21,-14.41,51.51,0.00
2024-01-02 15:00:00,6.81,2.24,3.31,1.09,5.93,1.95,4.90,1.61,4.07,0.53,5.68,-0.43,4.31,1.42,11.69,3.84,0.41,0.00,52.28,-14.33,51.55,0.00
2024-01-02 15:30:00,7.16,2.35,3.42,1.12,5.88,1.93,5.00,1.64,4.08,0.56,5.74,-0.42,4.31,1.42,11.56,3.80,0.41,0.00,52.61,-14.66,51.89,0.00
2024-01-02 16:00:00,7.24,2.38,3.58,1.18,5.89,1.94,5.11,1.68,4.24,0.56,5.86,-0.42,4.37,1.44,11.58,3.80,0.41,0.00,53.44,-14.63,52.70,0.00
2024-01-02 16:30:00,7.50,2.47,3.70,1.22,5.90,1.94,5.29,1.74,4.59,0.56,5.97,-0.41,4.64,1.53,11.54,3.79,0.41,0.00,54.83,-14.35,54.09,0.00
2024-01-02 17:00:00,8.01,2.63,3.88,1.28,5.88,1.93,5.58,1.83,5.06,0.53,6.18,-0.44,4.82,1.58,11.48,3.78,0.52,0.00,56.88,-13.73,56.10,0.00
2024-01-02 17:30:00,8.45,2.78,4.02,1.32,5.74,1.89,5.85,1.92,5.39,0.57,6.32,-0.43,5.00,1.64,11.21,3.68,0.58,0.00,58.41,-13.33,57.60,0.00
2024-01-02 18:00:00,8.82,2.90,4.07,1.34,5.58,1.84,6.13,2.01,5.80,0.47,6.35,-0.41,5.06,1.66,10.91,3.58,0.62,0.00,59.28,-13.14,58.46,0.00
2024-01-02 18:30:00,9.23,3.04,4.05,1.33,5.44,1.79,6.12,2.01,5.87,0.47,6.64,-0.41,4.95,1.63,10.60,3.48,0.62,0.00,59.39,-13.17,58.56,0.00
2024-01-02 19:00:00,9.08,2.98,4.04,1.33,5.36,1.76,5.98,1.96,5.75,0.47,6.64,-0.42,4.84,1.59,10.43,3.43,0.56,0.00,58.02,-13.71,57.21,0.00
2024-01-02 19:30:00,9.05,2.98,3.93,1.29,5.11,1.68,5.77,1.90,5.47,0.50,6.50,-0.42,4.68,1.54,9.93,3.26,0.56,0.00,55.92,-14.61,55.14,0.00
2024-01-02 20:00:00,8.46,2.78,3.76,1.24,5.10,1.68,5.39,1.77,5.04,0.52,6.40,-0.38,4.44,1.46,9.90,3.25,0.52,0.00,53.49,-15.66,52.73,0.00
2024-01-02 20:30:00,7.98,2.62,3.32,1.09,4.72,1.55,5.05,1.66,4.76,0.33,6.05,-0.38,4.11,1.35,9.13,3.00,0.52,0.00,50.22,-16.72,49.50,0.00
2024-01-02 21:00:00,7.49,2.46,2.99,0.98,4.53,1.49,4.82,1.58,4.37,0.54,5.69,-0.44,3.98,1.31,8.76,2.88,0.43,0.00,47.46,-17.51,46.79,0.02
2024-01-02 21:30:00,6.95,2.29,2.99,0.98,4.34,1.43,4.54,1.49,4.10,0.46,5.33,-0.45,3.81,1.25,8.37,2.75,0.43,0.00,44.66,-18.21,44.03,0.00
2024-01-02 22:00:00,6.53,2.14,2.61,0.86,4.13,1.36,4.23,1.39,3.91,0.58,5.02,-0.49,3.58,1.18,7.93,2.61,0.43,0.00,42.21,-18.56,41.62,0.00
2024-01-02 22:30:00,6.26,2.06,2.38,0.78,4.09,1.34,4.04,1.33,3.64,0.60,4.66,-0.51,3.25,1.07,7.63,2.51,0.43,0.00,39.37,-19.07,38.80,0.00
2024-01-02 23:00:00,5.83,1.92,2.17,0.71,3.79,1.25,3.74,1.23,3.34,0.60,4.43,-0.51,3.07,1.01,7.09,2.33,0.43,0.00,36.89,-19.74,36.36,0.00
2024-01-02 23:30:00,5.42,1.78,2.00,0.66,3.40,1.12,3.46,1.14,3.06,0.60,4.25,-0.49,2.90,0.95,6.47,2.13,0.00,0.00,34.47,-20.18,33.96,0.00
2024-01-03 00:00:00,5.20,1.71,1.86,0.61,3.46,1.14,3.36,1.10,2.83,0.60,4.07,-0.52,2.56,0.84,6.50,2.14,0.00,0.00,33.11,-20.26,32.64,0.00
2024-01-03 00:30:00,5.80,1.90,2.34,0.77,3.66,1.20,3.85,1.26,3.24,0.60,5.23,-0.49,2.79,0.92,6.89,2.26,0.00,0.00,37.30,-19.11,36.81,0.00
2024-01-03 01:00:00,5.99,1.97,2.69,0.88,3.66,1.20,3.96,1.30,3.20,0.59,5.66,-0.45,2.92,0.96,6.92,2.27,0.00,0.00,38.35,-18.73,37.81,0.00
2024-01-03 01:30:00,5.74,1.89,2.59,0.85,3.58,1.17,4.12,1.36,3.13,0.59,5.53,-0.49,2.82,0.93,6.76,2.22,0.00,0.00,37.45,-19.07,36.92,0.00
2024-01-03 02:00:00,5.54,1.82,2.48,0.82,3.52,1.16,4.08,1.34,3.02,0.59,5.32,-0.51,2.73,0.90,6.64,2.18,0.00,0.00,36.33,-19.31,35.80,0.00
2024-01-03 02:30:00,5.35,1.76,2.49,0.82,3.54,1.16,3.96,1.30,2.96,0.59,5.26,-0.51,2.52,0.83,6.59,2.17,0.00,0.00,35.68,-19.43,35.17,0.00
2024-01-03 03:00:00,5.22,1.72,1.98,0.65,3.69,1.21,3.81,1.25,2.85,0.59,5.26,-0.51,2.35,0.77,6.70,2.20,0.00,0.00,35.02,-19.57,34.52,0.00
2024-01-03 03:30:00,4.97,1.63,1.85,0.61,3.62,1.19,3.65,1.20,2.75,0.47,4.92,-0.50,2.33,0.76,6.60,2.17,0.00,0.00,33.71,-20.01,33.22,0.00
2024-01-03 04:00:00,4.88,1.60,1.75,0.58,3.33,1.10,3.52,1.16,2.63,0.38,4.62,-0.38,2.41,0.79,6.26,2.06,0.00,0.00,32.47,-20.19,31.99,0.00
2024-01-03 04:30:00,4.82,1.58,1.80,0.59,3.31,1.09,3.49,1.15,2.56,0.42,4.44,-0.38,2.33,0.76,6.22,2.04,0.00,0.00,31.89,-20.37,31.43,0.00
2024-01-03 05:00:00,4.75,1.56,2.10,0.69,3.31,1.09,3.34,1.10,2.48,0.55,4.17,-0.38,2.36,0.77,6.22,2.04,0.00,0.00,31.22,-20.51,30.76,0.00
2024-01-03 05:30:00,4.93,1.62,2.10,0.69,3.37,1.11,3.38,1.11,2.52,0.55,4.09,-0.36,2.56,0.84,6.37,2.09,0.00,0.00,31.93,-20.31,31.48,0.00
2024-01-03 06:00:00,4.98,1.64,2.16,0.71,3.46,1.14,3.45,1.13,2.57,0.55,4.15,-0.38,2.61,0.86,6.55,2.15,0.00,0.00,32.67,-20.27,32.20,0.00
2024-01-03 06:30:00,5.34,1.76,1.96,0.64,3.69,1.21,3.86,1.27,2.86,0.55,4.30,-0.38,2.84,0.93,7.06,2.32,0.00,0.00,35.50,-19.15,35.03,0.00
2024-01-03 07:00:00,5.73,1.88,2.28,0.75,3.93,1.29,4.15,1.36,3.22,0.55,4.61,-0.34,3.08,1.01,7.58,2.49,0.00,0.00,38.78,-18.44,38.26,0.00
2024-01-03 07:30:00,6.11,2.01,2.80,0.92,4.30,1.42,4.44,1.46,3.44,0.55,4.72,-0.33,3.32,1.09,8.35,2.74,0.41,0.00,41.73,-17.75,41.17,0.00
2024-01-03 08:00:00,6.39,2.10,3.21,1.05,4.51,1.48,4.83,1.59,3.63,0.55,4.85,-0.33,3.62,1.19,8.77,2.88,0.41,0.00,44.55,-17.06,43.95,0.00
2024-01-03 08:30:00,6.54,2.15,3.32,1.09,4.94,1.62,5.06,1.66,3.82,0.41,5.08,-0.31,3.84,1.26,9.63,3.17,0.41,0.00,47.38,-15.88,46.75,0.00
2024-01-03 09:00:00,6.73,2.21,3.32,1.09,5.24,1.72,5.23,1.72,3.98,0.49,5.35,-0.31,4.07,1.34,10.22,3.36,0.41,0.00,49.92,-15.22,49.26,0.00
2024-01-03 09:30:00,7.16,2.35,3.40,1.12,5.63,1.85,5.33,1.75,4.04,0.55,5.62,-0.26,4.20,1.38,10.98,3.61,0.41,0.00,52.43,-14.55,51.71,0.00
2024-01-03 10:00:00,6.95,2.29,3.45,1.13,5.78,1.90,5.22,1.72,4.08,0.56,5.81,-0.29,4.20,1.38,11.28,3.71,0.41,0.00,52.91,-14.46,52.18,0.00
2024-01-03 10:30:00,6.80,2.24,3.58,1.18,5.94,1.95,5.22,1.72,4.08,0.55,5.93,-0.30,4.29,1.41,11.59,3.81,0.41,0.00,53.63,-14.28,52.91,0.00
2024-01-03 11:00:00,6.87,2.26,3.61,1.19,6.02,1.98,5.18,1.70,4.12,0.57,6.02,-0.30,4.34,1.43,11.74,3.86,0.41,0.00,54.17,-14.09,53.43,0.00
2024-01-03 11:30:00,7.09,2.33,3.63,1.19,6.12,2.01,5.25,1.73,4.04,0.57,6.13,-0.26,4.41,1.45,12.00,3.94,0.41,0.00,54.92,-13.68,54.16,0.00
2024-01-03 12:00:00,6.93,2.28,3.45,1.13,6.14,2.02,5.22,1.72,4.12,0.57,6.05,-0.26,4.35,1.43,12.04,3.96,0.41,0.00,54.51,-13.97,53.75,0.00
2024-01-03 12:30:00,6.93,2.28,3.40,1.12,6.08,2.00,5.19,1.70,4.22,0.57,5.99,-0.28,4.37,1.44,11.90,3.91,0.41,0.00,54.31,-13.83,53.57,0.00
2024-01-03 13:00:00,7.07,2.32,3.42,1.12,6.10,2.01,5.19,1.70,4.22,0.54,5.96,-0.28,4.35,1.43,11.94,3.92,0.41,0.00,54.55,-13.70,53.80,0.00
2024-01-03 13:30:00,7.12,2.34,3.53,1.16,6.14,2.02,5.17,1.70,4.22,0.54,6.08,-0.28,4.43,1.46,12.03,3.95,0.41,0.00,54.97,-13.61,54.22,0.00
2024-01-03 14:00:00,7.30,2.40,3.41,1.12,6.07,2.00,4.89,1.61,4.07,0.57,6.18,-0.26,4.37,1.44,11.89,3.91,0.41,0.00,54.28,-13.91,53.53,0.00
2024-01-03 14:30:00,7.08,2.33,3.42,1.12,6.07,2.00,4.81,1.58,3.98,0.57,6.09,-0.26,4.36,1.43,11.88,3.90,0.41,0.00,53.76,-13.87,53.02,0.00
2024-01-03 15:00:00,6.98,2.30,3.35,1.10,5.95,1.96,4.76,1.56,3.98,0.57,5.88,-0.26,4.24,1.39,11.69,3.84,0.20,0.00,52.59,-14.33,51.87,0.00
2024-01-03 15:30:00,7.03,2.31,3.45,1.13,5.88,1.93,4.74,1.56,4.02,0.57,5.77,-0.30,4.30,1.41,11.49,3.78,0.41,0.00,52.55,-14.56,51.82,0.00
2024-01-03 16:00:00,7.12,2.34,3.45,1.13,5.90,1.94,4.94,1.62,4.20,0.57,5.79,-0.40,4.49,1.48,11.58,3.81,0.41,0.00,53.28,-14.34,52.56,0.00
2024-01-03 16:30:00,7.62,2.50,3.63,1.19,5.90,1.94,5.15,1.69,4.59,0.57,5.94,-0.42,4.85,1.60,11.57,3.80,0.41,0.00,55.14,-13.87,54.40,0.00
2024-01-03 17:00:00,8.37,2.75,4.01,1.32,5.94,1.95,5.69,1.87,4.99,0.57,6.16,-0.42,5.14,1.69,11.64,3.83,0.51,0.00,58.00,-13.21,57.21,0.84
2024-01-03 17:30:00,8.80,2.89,4.03,1.32,5.85,1.92,5.95,1.96,5.33,0.57,6.28,-0.39,5.32,1.75,11.41,3.75,0.52,0.00,59.41,-13.06,58.59,1.73
2024-01-03 18:00:00,9.19,3.02,4.12,1.36,5.73,1.88,6.22,2.04,5.57,0.57,6.33,-0.39,5.31,1.74,11.18,3.68,0.52,0.00,60.21,-12.92,59.39,1.76
2024-01-03 18:30:00,9.40,3.09,4.22,1.39,5.58,1.84,6.26,2.06,5.69,0.57,6.58,-0.40,5.26,1.73,10.89,3.58,0.52,0.00,60.34,-13.08,59.48,1.73
2024-01-03 19:00:00,9.38,3.08,4.28,1.40,5.43,1.78,6.10,2.01,5.53,0.57,6.66,-0.39,5.04,1.66,10.59,3.48,0.52,0.00,58.98,-13.68,58.15,1.35
