"SETTLEMENT_DATE","SETTLEMENT_PERIOD","ND","TSD","ENGLAND_WALES_DEMAND","EMBEDDED_WIND_GENERATION","EMBEDDED_WIND_CAPACITY","EMBEDDED_SOLAR_GENERATION","EMBEDDED_SOLAR_CAPACITY","NON_BM_STOR","PUMP_STORAGE_PUMPING","SCOTTISH_TRANSFER","IFA_FLOW","IFA2_FLOW","BRITNED_FLOW","MOYLE_FLOW","EAST_WEST_FLOW","NEMO_FLOW","NSL_FLOW","ELECLINK_FLOW","VIKING_FLOW","GREENLINK_FLOW"
"2003-01-01",1,36977,NA,32817,NA,NA,NA,NA,14,234,NA,1493,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",2,37900,NA,33861,NA,NA,NA,NA,0,214,NA,1496,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",3,37805,NA,33852,NA,NA,NA,NA,0,326,NA,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",4,36855,NA,32959,NA,NA,NA,NA,0,361,NA,1490,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",5,35931,NA,32102,NA,NA,NA,NA,0,360,NA,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",6,35479,NA,31671,NA,NA,NA,NA,0,439,NA,1490,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",7,33942,NA,30173,NA,NA,NA,NA,0,1206,NA,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",8,32435,NA,28690,NA,NA,NA,NA,0,1124,NA,1491,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",9,31394,NA,27585,NA,NA,NA,NA,0,1160,NA,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",10,30737,NA,26857,NA,NA,NA,NA,0,1203,NA,1490,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",11,30049,NA,26205,NA,NA,NA,NA,0,1262,NA,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",12,29693,NA,25894,NA,NA,NA,NA,0,1255,NA,1490,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",13,29598,NA,25903,NA,NA,NA,NA,0,1205,NA,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",14,29199,NA,25595,NA,NA,NA,NA,0,929,NA,1483,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",15,28576,NA,25087,NA,NA,NA,NA,0,15,NA,1025,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",16,27638,NA,24312,NA,NA,NA,NA,0,12,NA,528,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",17,27639,NA,24436,NA,NA,NA,NA,0,10,NA,501,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",18,28216,NA,25092,NA,NA,NA,NA,0,9,NA,850,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",19,29432,NA,26239,NA,NA,NA,NA,0,3,NA,1379,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",20,30860,NA,27522,NA,NA,NA,NA,0,0,NA,1033,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",21,32499,NA,29035,NA,NA,NA,NA,0,0,NA,1070,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",22,33862,NA,30326,NA,NA,NA,NA,0,0,NA,1378,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",23,35320,NA,31635,NA,NA,NA,NA,0,0,NA,1381,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",24,36556,NA,32718,NA,NA,NA,NA,0,0,NA,1380,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",25,37643,NA,33647,NA,NA,NA,NA,0,0,NA,1380,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",26,37960,NA,33872,NA,NA,NA,NA,0,0,NA,1379,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",27,38368,NA,34226,NA,NA,NA,NA,0,0,NA,1381,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",28,38083,NA,33925,NA,NA,NA,NA,0,5,NA,1380,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",29,38072,NA,33974,NA,NA,NA,NA,0,9,NA,1381,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",30,37708,NA,33628,NA,NA,NA,NA,0,9,NA,1380,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",31,37689,NA,33579,NA,NA,NA,NA,0,9,NA,1381,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",32,38037,NA,33907,NA,NA,NA,NA,0,9,NA,1380,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",33,39624,NA,35350,NA,NA,NA,NA,0,2,NA,1469,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",34,42174,NA,37785,NA,NA,NA,NA,0,0,NA,1470,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",35,42967,NA,38607,NA,NA,NA,NA,0,0,NA,1460,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",36,42742,NA,38474,NA,NA,NA,NA,0,0,NA,1461,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",37,42028,NA,37864,NA,NA,NA,NA,0,0,NA,1461,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",38,41287,NA,37121,NA,NA,NA,NA,0,0,NA,1461,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",39,40876,NA,36739,NA,NA,NA,NA,0,0,NA,1480,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",40,40076,NA,35889,NA,NA,NA,NA,0,3,NA,1481,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",41,39600,NA,35389,NA,NA,NA,NA,0,7,NA,1480,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",42,38810,NA,34744,NA,NA,NA,NA,0,12,NA,1481,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",43,38015,NA,33940,NA,NA,NA,NA,0,13,NA,1489,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",44,36686,NA,32677,NA,NA,NA,NA,0,17,NA,1490,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",45,35669,NA,31643,NA,NA,NA,NA,0,17,NA,1490,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",46,35464,NA,31334,NA,NA,NA,NA,0,12,NA,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",47,33955,NA,30026,NA,NA,NA,NA,0,643,NA,1491,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-01",48,33134,NA,29249,NA,NA,NA,NA,2,778,NA,1493,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",1,33709,NA,29783,NA,NA,NA,NA,30,808,NA,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",2,33855,NA,30133,NA,NA,NA,NA,0,849,NA,1493,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",3,33653,NA,30038,NA,NA,NA,NA,0,800,NA,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",4,33109,NA,29559,NA,NA,NA,NA,0,897,NA,1493,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",5,32572,NA,29069,NA,NA,NA,NA,0,893,NA,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",6,32645,NA,29129,NA,NA,NA,NA,0,641,NA,1493,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",7,31661,NA,28151,NA,NA,NA,NA,0,1033,NA,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",8,30771,NA,27299,NA,NA,NA,NA,0,1027,NA,1493,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",9,30036,NA,26619,NA,NA,NA,NA,0,1019,NA,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",10,29749,NA,26253,NA,NA,NA,NA,0,1007,NA,1424,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",11,29904,NA,26417,NA,NA,NA,NA,0,992,NA,1032,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",12,30572,NA,27035,NA,NA,NA,NA,0,986,NA,998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",13,32668,NA,29022,NA,NA,NA,NA,0,916,NA,997,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",14,34450,NA,30847,NA,NA,NA,NA,0,489,NA,998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",15,36590,NA,33043,NA,NA,NA,NA,0,11,NA,1307,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",16,37961,NA,34516,NA,NA,NA,NA,0,4,NA,1473,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",17,40006,NA,36591,NA,NA,NA,NA,0,12,NA,1472,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",18,41445,NA,38086,NA,NA,NA,NA,0,5,NA,1474,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",19,43112,NA,39633,NA,NA,NA,NA,0,0,NA,1383,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",20,44138,NA,40498,NA,NA,NA,NA,0,0,NA,1383,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",21,44788,NA,41072,NA,NA,NA,NA,0,0,NA,1383,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",22,45327,NA,41539,NA,NA,NA,NA,0,0,NA,1383,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",23,45847,NA,41885,NA,NA,NA,NA,0,0,NA,1384,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",24,46360,NA,42253,NA,NA,NA,NA,0,0,NA,1383,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",25,46793,NA,42546,NA,NA,NA,NA,0,0,NA,1383,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",26,46849,NA,42510,NA,NA,NA,NA,0,0,NA,1383,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",27,47002,NA,42642,NA,NA,NA,NA,0,0,NA,1384,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",28,46734,NA,42382,NA,NA,NA,NA,0,5,NA,1383,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",29,46663,NA,42407,NA,NA,NA,NA,0,10,NA,1383,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",30,46653,NA,42433,NA,NA,NA,NA,0,8,NA,1383,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",31,46888,NA,42627,NA,NA,NA,NA,0,13,NA,1384,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",32,47705,NA,43396,NA,NA,NA,NA,0,2,NA,1383,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",33,49172,NA,44703,NA,NA,NA,NA,0,1,NA,1472,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",34,51530,NA,46916,NA,NA,NA,NA,0,0,NA,1473,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",35,52541,NA,47791,NA,NA,NA,NA,0,0,NA,1473,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",36,51928,NA,47247,NA,NA,NA,NA,0,0,NA,1473,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",37,51133,NA,46538,NA,NA,NA,NA,0,0,NA,1472,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",38,50508,NA,45916,NA,NA,NA,NA,0,0,NA,1473,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",39,49215,NA,44699,NA,NA,NA,NA,0,0,NA,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",40,47975,NA,43403,NA,NA,NA,NA,0,2,NA,1493,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",41,46569,NA,42044,NA,NA,NA,NA,0,15,NA,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",42,45242,NA,40887,NA,NA,NA,NA,0,10,NA,1493,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",43,43765,NA,39443,NA,NA,NA,NA,0,15,NA,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",44,41975,NA,37716,NA,NA,NA,NA,0,15,NA,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",45,40954,NA,36600,NA,NA,NA,NA,0,12,NA,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",46,39966,NA,35559,NA,NA,NA,NA,0,15,NA,1493,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",47,38150,NA,33853,NA,NA,NA,NA,0,491,NA,1490,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-02",48,36870,NA,32731,NA,NA,NA,NA,0,555,NA,1491,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",1,37068,NA,33027,NA,NA,NA,NA,0,709,NA,1491,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",2,37424,NA,33447,NA,NA,NA,NA,0,721,NA,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",3,37350,NA,33367,NA,NA,NA,NA,0,725,NA,1491,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",4,36940,NA,32911,NA,NA,NA,NA,0,718,NA,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",5,36424,NA,32399,NA,NA,NA,NA,0,747,NA,1491,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",6,36456,NA,32371,NA,NA,NA,NA,0,762,NA,1491,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",7,35504,NA,31454,NA,NA,NA,NA,0,1262,NA,1491,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",8,34527,NA,30601,NA,NA,NA,NA,0,1381,NA,1491,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",9,33651,NA,29874,NA,NA,NA,NA,0,1382,NA,1491,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",10,33312,NA,29571,NA,NA,NA,NA,0,1272,NA,1491,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",11,33157,NA,29509,NA,NA,NA,NA,0,1289,NA,1490,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",12,33555,NA,29888,NA,NA,NA,NA,0,1207,NA,1491,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",13,35365,NA,31651,NA,NA,NA,NA,0,886,NA,1490,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",14,36985,NA,33196,NA,NA,NA,NA,0,779,NA,1491,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",15,39073,NA,35225,NA,NA,NA,NA,0,235,NA,1490,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",16,40557,NA,36711,NA,NA,NA,NA,0,15,NA,1491,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",17,42244,NA,38374,NA,NA,NA,NA,0,14,NA,1490,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",18,43539,NA,39685,NA,NA,NA,NA,0,5,NA,1491,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",19,45022,NA,40999,NA,NA,NA,NA,0,0,NA,1402,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",20,45870,NA,41719,NA,NA,NA,NA,0,0,NA,1401,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",21,46453,NA,42157,NA,NA,NA,NA,0,0,NA,1402,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",22,46799,NA,42429,NA,NA,NA,NA,0,0,NA,1401,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",23,47153,NA,42713,NA,NA,NA,NA,0,0,NA,1402,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",24,47393,NA,42914,NA,NA,NA,NA,0,0,NA,1401,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",25,47640,NA,43094,NA,NA,NA,NA,0,0,NA,1402,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",26,47377,NA,42817,NA,NA,NA,NA,0,0,NA,1401,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",27,47400,NA,42866,NA,NA,NA,NA,0,0,NA,1402,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",28,47191,NA,42701,NA,NA,NA,NA,0,5,NA,1401,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",29,47423,NA,43008,NA,NA,NA,NA,0,7,NA,1402,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",30,47279,NA,42893,NA,NA,NA,NA,0,9,NA,1401,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",31,47444,NA,43026,NA,NA,NA,NA,0,5,NA,1402,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",32,48105,NA,43656,NA,NA,NA,NA,0,0,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",33,49615,NA,44918,NA,NA,NA,NA,0,0,NA,1491,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-01-03",34,52513,NA,47469,NA,NA,NA,NA,0,0,NA,1490,NA,NA,NA,NA,NA,NA,NA,NA,NA
