"SETTLEMENT_DATE","SETTLEMENT_PERIOD","ND","TSD","ENGLAND_WALES_DEMAND","EMBEDDED_WIND_GENERATION","EMBEDDED_WIND_CAPACITY","EMBEDDED_SOLAR_GENERATION","EMBEDDED_SOLAR_CAPACITY","NON_BM_STOR","PUMP_STORAGE_PUMPING","SCOTTISH_TRANSFER","IFA_FLOW","IFA2_FLOW","BRITNED_FLOW","MOYLE_FLOW","EAST_WEST_FLOW","NEMO_FLOW","NSL_FLOW","ELECLINK_FLOW","VIKING_FLOW","GREENLINK_FLOW"
"2008-01-01",1,36164,36847,32466,59,1163,NA,NA,0,8,NA,1334,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-01",2,36368,37052,32689,50,1163,NA,NA,0,9,NA,1346,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-01",3,36138,36822,32452,50,1163,NA,NA,0,9,NA,1346,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-01",4,35017,35700,31339,29,1163,NA,NA,0,8,NA,1346,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-01",5,33927,34610,30297,29,1163,NA,NA,0,8,NA,1346,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-01",6,33276,33974,29617,20,1163,NA,NA,0,23,NA,1347,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-01",7,31956,33453,28277,20,1163,NA,NA,0,822,NA,1345,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-01",8,30537,32169,27054,29,1163,NA,NA,0,957,NA,1345,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-01",9,29346,30972,26052,29,1163,NA,NA,0,951,NA,1345,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-01",10,28714,30345,25559,33,1163,NA,NA,0,956,NA,1346,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-01",11,28221,29938,25187,33,1163,NA,NA,0,1042,NA,1345,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-01",12,27961,29683,24946,23,1163,NA,NA,0,1047,NA,1346,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-01",13,28123,29873,25111,23,1163,NA,NA,0,1075,NA,1345,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-01",14,28050,29761,25069,44,1163,NA,NA,0,1036,NA,1345,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-01",15,27760,28663,24847,44,1163,NA,NA,0,167,NA,1242,NA,NA,-136,NA,NA,NA,NA,NA,NA
"2008-01-01",16,27335,28309,24543,60,1163,NA,NA,0,230,NA,769,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-01",17,27474,28327,24729,60,1163,NA,NA,0,109,NA,753,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-01",18,28143,29085,25439,44,1163,NA,NA,0,198,NA,979,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-01",19,29455,30202,26681,44,1163,NA,NA,0,3,NA,1238,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-01",20,30964,31710,28072,70,1163,NA,NA,0,2,NA,1239,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-01",21,32614,33360,29540,70,1163,NA,NA,0,2,NA,1239,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-01",22,34007,34753,30720,84,1163,NA,NA,0,2,NA,1239,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-01",23,35392,36138,31903,84,1163,NA,NA,0,2,NA,1240,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-01",24,36463,37210,32795,80,1163,NA,NA,0,2,NA,1240,NA,NA,-145,NA,NA,NA,NA,NA,NA
"2008-01-01",25,37471,38218,33648,80,1163,NA,NA,0,2,NA,1240,NA,NA,-145,NA,NA,NA,NA,NA,NA
"2008-01-01",26,37758,38546,33874,73,1163,NA,NA,0,3,NA,1240,NA,NA,-185,NA,NA,NA,NA,NA,NA
"2008-01-01",27,37975,38772,34048,73,1163,NA,NA,0,6,NA,1240,NA,NA,-191,NA,NA,NA,NA,NA,NA
"2008-01-01",28,37760,38556,33838,72,1163,NA,NA,0,6,NA,1240,NA,NA,-190,NA,NA,NA,NA,NA,NA
"2008-01-01",29,37925,38705,34015,72,1163,NA,NA,0,6,NA,1240,NA,NA,-174,NA,NA,NA,NA,NA,NA
"2008-01-01",30,37934,38679,34023,57,1163,NA,NA,0,6,NA,1238,NA,NA,-139,NA,NA,NA,NA,NA,NA
"2008-01-01",31,38274,38960,34293,57,1163,NA,NA,0,6,NA,1308,NA,NA,-80,NA,NA,NA,NA,NA,NA
"2008-01-01",32,39492,40187,35435,69,1163,NA,NA,0,9,NA,1309,NA,NA,-86,NA,NA,NA,NA,NA,NA
"2008-01-01",33,41640,42419,37429,69,1163,NA,NA,0,9,NA,1309,NA,NA,-170,NA,NA,NA,NA,NA,NA
"2008-01-01",34,43708,44466,39414,61,1163,NA,NA,0,13,NA,1310,NA,NA,-145,NA,NA,NA,NA,NA,NA
"2008-01-01",35,44769,45526,40490,61,1163,NA,NA,0,12,NA,1309,NA,NA,-145,NA,NA,NA,NA,NA,NA
"2008-01-01",36,44704,45460,40507,77,1163,NA,NA,0,11,NA,1310,NA,NA,-145,NA,NA,NA,NA,NA,NA
"2008-01-01",37,43985,44741,39913,77,1163,NA,NA,0,11,NA,1309,NA,NA,-145,NA,NA,NA,NA,NA,NA
"2008-01-01",38,43119,43876,39060,76,1163,NA,NA,0,12,NA,1310,NA,NA,-145,NA,NA,NA,NA,NA,NA
"2008-01-01",39,42453,43208,38486,76,1163,NA,NA,0,10,NA,1574,NA,NA,-145,NA,NA,NA,NA,NA,NA
"2008-01-01",40,41375,42130,37462,98,1163,NA,NA,0,10,NA,1581,NA,NA,-145,NA,NA,NA,NA,NA,NA
"2008-01-01",41,40791,41544,36823,98,1163,NA,NA,0,8,NA,1581,NA,NA,-145,NA,NA,NA,NA,NA,NA
"2008-01-01",42,39801,40562,35955,100,1163,NA,NA,0,16,NA,1581,NA,NA,-145,NA,NA,NA,NA,NA,NA
"2008-01-01",43,38856,39656,35063,100,1163,NA,NA,0,13,NA,1580,NA,NA,-187,NA,NA,NA,NA,NA,NA
"2008-01-01",44,37375,38177,33642,110,1163,NA,NA,0,11,NA,1581,NA,NA,-191,NA,NA,NA,NA,NA,NA
"2008-01-01",45,36224,37030,32475,110,1163,NA,NA,0,15,NA,1552,NA,NA,-191,NA,NA,NA,NA,NA,NA
"2008-01-01",46,34986,35942,31193,118,1163,NA,NA,0,174,NA,890,NA,NA,-182,NA,NA,NA,NA,NA,NA
"2008-01-01",47,33485,35018,29831,118,1163,NA,NA,0,778,NA,-39,NA,NA,-116,NA,NA,NA,NA,NA,NA
"2008-01-01",48,32266,33827,28797,118,1163,NA,NA,0,853,NA,80,NA,NA,-108,NA,NA,NA,NA,NA,NA
"2008-01-02",1,32824,34176,29459,118,1163,NA,NA,0,677,NA,26,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-02",2,32690,34206,29345,161,1163,NA,NA,0,841,NA,26,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-02",3,32601,34189,29261,161,1163,NA,NA,0,913,NA,52,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-02",4,31865,33636,28569,146,1163,NA,NA,0,1096,NA,52,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-02",5,31384,33159,28148,146,1163,NA,NA,0,1100,NA,52,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-02",6,31470,33122,28163,191,1163,NA,NA,0,977,NA,52,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-02",7,30744,32527,27417,191,1163,NA,NA,0,1108,NA,52,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-02",8,29800,31599,26569,198,1163,NA,NA,0,1124,NA,52,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-02",9,29077,30865,25962,198,1163,NA,NA,0,1113,NA,80,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-02",10,28969,30858,25940,238,1163,NA,NA,0,1214,NA,50,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-02",11,29113,30843,26199,238,1163,NA,NA,0,1055,NA,28,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-02",12,29982,31647,27142,313,1163,NA,NA,0,990,NA,26,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-02",13,32452,34085,29554,313,1163,NA,NA,0,958,NA,17,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-02",14,34813,36498,31834,359,1163,NA,NA,0,554,NA,-456,NA,NA,-75,NA,NA,NA,NA,NA,NA
"2008-01-02",15,37271,39494,34263,359,1163,NA,NA,0,13,NA,-1474,NA,NA,-136,NA,NA,NA,NA,NA,NA
"2008-01-02",16,39050,41255,36086,421,1163,NA,NA,0,11,NA,-1450,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-02",17,41124,43326,38143,421,1163,NA,NA,0,9,NA,-1449,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-02",18,42564,44743,39601,422,1163,NA,NA,0,9,NA,-1387,NA,NA,-183,NA,NA,NA,NA,NA,NA
"2008-01-02",19,44419,46298,41311,422,1163,NA,NA,0,9,NA,-1126,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-02",20,45512,47389,42263,409,1163,NA,NA,0,7,NA,-1126,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-02",21,46431,48236,42978,409,1163,NA,NA,0,6,NA,-1043,NA,NA,-156,NA,NA,NA,NA,NA,NA
"2008-01-02",22,47107,48930,43494,468,1163,NA,NA,0,5,NA,-1074,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-02",23,47788,49625,43999,468,1163,NA,NA,0,6,NA,-1078,NA,NA,-153,NA,NA,NA,NA,NA,NA
"2008-01-02",24,48165,50022,44258,492,1163,NA,NA,0,6,NA,-1074,NA,NA,-177,NA,NA,NA,NA,NA,NA
"2008-01-02",25,48457,50284,44464,492,1163,NA,NA,0,7,NA,-1076,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-02",26,48450,50274,44444,469,1163,NA,NA,0,8,NA,-1072,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-02",27,48532,50357,44499,469,1163,NA,NA,0,5,NA,-1076,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-02",28,48397,50216,44389,526,1163,NA,NA,0,4,NA,-1071,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-02",29,48406,50280,44448,526,1163,NA,NA,0,4,NA,-1126,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-02",30,48253,50095,44327,515,1163,NA,NA,0,4,NA,-1102,NA,NA,-136,NA,NA,NA,NA,NA,NA
"2008-01-02",31,48478,49345,44475,515,1163,NA,NA,0,4,NA,-194,NA,NA,-69,NA,NA,NA,NA,NA,NA
"2008-01-02",32,49433,50238,45312,466,1163,NA,NA,0,6,NA,-130,NA,NA,-69,NA,NA,NA,NA,NA,NA
"2008-01-02",33,51590,52264,47019,466,1163,NA,NA,0,5,NA,148,NA,NA,-69,NA,NA,NA,NA,NA,NA
"2008-01-02",34,54456,55196,49852,490,1163,NA,NA,0,5,NA,360,NA,NA,-135,NA,NA,NA,NA,NA,NA
"2008-01-02",35,55435,56187,50751,490,1163,NA,NA,0,8,NA,767,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-02",36,55165,55934,50529,524,1163,NA,NA,0,8,NA,734,NA,NA,-161,NA,NA,NA,NA,NA,NA
"2008-01-02",37,54313,55091,49796,524,1163,NA,NA,0,9,NA,397,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2008-01-02",38,53370,54154,48866,513,1163,NA,NA,0,6,NA,60,NA,NA,-178,NA,NA,NA,NA,NA,NA
"2008-01-02",39,52468,53421,48089,513,1163,NA,NA,0,6,NA,-203,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-02",40,50863,51734,46567,467,1163,NA,NA,0,6,NA,-121,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-02",41,49569,50322,45245,467,1163,NA,NA,0,9,NA,0,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-02",42,48288,49286,44091,414,1163,NA,NA,0,7,NA,-247,NA,NA,-144,NA,NA,NA,NA,NA,NA
"2008-01-02",43,46659,48296,42547,414,1163,NA,NA,0,6,NA,-845,NA,NA,-186,NA,NA,NA,NA,NA,NA
"2008-01-02",44,44577,46214,40571,380,1163,NA,NA,0,10,NA,-838,NA,NA,-189,NA,NA,NA,NA,NA,NA
"2008-01-02",45,42840,44480,38833,380,1163,NA,NA,0,14,NA,-837,NA,NA,-189,NA,NA,NA,NA,NA,NA
