NESO BMU ID,SETT UNIT ID,CRM UNIT CAT,BMRS FUEL TYPE,REG FUEL TYPE,REG TYPE,DGB FLG,GC OC2,,Updated: 20/05/2026
ABERU-1,E_ABERDARE,Primary BMU,OCGT,OCGT,BMU,Generation Unit,,,
ABRBO-1,T_ABRBO-1,Primary BMU,WIND,WIND,BMU,Generation Unit,Y,,
ABRTW-1,E_ABRTW-1,Primary BMU,WIND,WIND,BMU,Generation Unit,Y,,
ACHAI-1,,Primary BMU,WIND,WIND,BMU,Generation Unit,,,
ACHLW-1,C__PSMAR001,Primary BMU,WIND,WIND,EELPS,Generation Unit,Y,,
ACHRW-1,T_ACHRW-1,Primary BMU,WIND,WIND,BMU,Generation Unit,Y,,
ACHYW-1,,Primary BMU,WIND,WIND,EELPS,Generation Unit,Y,,
AD-JEDF02,2__JLOND002,Primary BMU,OCGT,OCGT,BMU,Generation Unit,,,
AD-JEDF03,2__JLOND003,Primary BMU,OCGT,OCGT,BMU,Generation Unit,,,
AFTOW-1,T_AFTOW-1,Primary BMU,WIND,WIND,BMU,Generation Unit,Y,,
AG-ADL00B,V__BADEL001,Secondary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-ADL01M,V__MADEL001,Secondary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-ADL02G,V__GADEL001,Secondary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-ADL03E,V__EADEL001,Secondary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-ADL04H,V__JADEL001,Secondary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-ADL05H,,Secondary BMU,OTHER,OTHER,BMU,Generation Unit,,,
AG-AECO01,2__AECOT003,Primary BMU,OTHER,SOLAR,BMU,Generation Unit,,,
AG-AEDF01,2__ALOND001,Primary BMU,OTHER,SOLAR,BMU,Generation Unit,,,
AG-AEDF03,2__ALOND003,Additional Supplier BMU,OCGT,OCGT,BMU,Generation Unit,,,
AG-AEDF04,2__ALOND004,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-AFLX03,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-AFLX04,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-AFLX05,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-AHAR01,2__APOWQ001,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-ALIM02,2__AANGE001,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-ALIM03,2__AANGE002,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-ALIM04,2__AANGE003,Primary BMU,OTHER,OTHER,BMU,Bi-Directional,,,
AG-AOCT01,2__AMRCY001,Additional Supplier BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-ASTK01,,Additional Supplier BMU,OTHER,OTHER,BMU,Generation Unit,,,
AG-ASTK02,2__ASTAT002,Primary BMU,OTHER,OTHER,BMU,Generation Unit,,,
AG-ASTK03,,Primary BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-ASTK04,2__ASTAT004,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-ASTK05,,Primary BMU,OTHER,BATTERIES,BMU,Generation Unit,,,
AG-ASTK06,2__ASTAT006,Primary BMU,OTHER,OTHER,BMU,Generation Unit,,,
AG-ASTK07,2__ASTAT007,Primary BMU,OTHER,OTHER,BMU,Generation Unit,,,
AG-ASTK08,,Additional Supplier BMU,OTHER,OTHER,BMU,Bi-Directional,Y,,
AG-ASTK09,2__ASTAT009,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-AUKP01,2__AUKPR001,Primary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-AUKP02,2__AUKP002,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-AUKP03,2__AUKP003,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-AXL00K,,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Bi-Directional,,,
AG-BEDF03,2__BLOND003,Primary BMU,WIND,WIND,BMU,Generation Unit,Y,,
AG-BEDF04,2__BLOND004,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-BEDG01,2__BEDGE001,Additional Supplier BMU,OTHER,SOLAR,BMU,Generation Unit,,,
AG-BFLX01,,Additional Supplier BMU,OTHER,BATTERIES,BMU,Generation Unit,,,
AG-BFLX03,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-BFLX04,,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,Y,,
AG-BHAR01,2__BPOWQ001,Primary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-BLIM02,2__BANGE001,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-BLIM03,2__BANGE002,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-BLIM04,2__BANGE003,Primary BMU,PS,PS,BMU,Bi-Directional,,,
AG-BOCT01,2__BMRCY001,Additional Supplier BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-BSMA01,2__BSMAR002,Primary BMU,OTHER,OTHER,BMU,Generation Unit,,,
AG-BSTK03,,Primary BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-BSTK04,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-BUKP01,,Primary BMU,OTHER,BATTERIES,BMU,Generation Unit,,,
AG-BUKP02,2__BUKP002,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-BUKP03,2__BUKP003,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-CBS02L,,Secondary BMU,OTHER,BATTERIES,BMU,Generation Unit,,,
AG-CBS05L,,Secondary BMU,OTHER,BATTERIES,BMU,Generation Unit,Y,,
AG-CBS06B,,Secondary BMU,OTHER,BATTERIES,BMU,Generation Unit,Y,,
AG-CBS07B,V__ECEND007,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-CBS08M,,Secondary BMU,OTHER,BATTERIES,BMU,Generation Unit,,,
AG-COCT01,,Additional Supplier BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-CRE00A,,Secondary BMU,OTHER,DIESEL,BMU,Generation Unit,,,
AG-CRE01K,,Secondary BMU,OTHER,DIESEL,BMU,Generation Unit,,,
AG-CRE02L,,Secondary BMU,OTHER,DIESEL,BMU,Generation Unit,,,
AG-DEDF01,2__DLOND001,Primary BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-DEDF02,2__DLOND002,Primary BMU,OCGT,OCGT,BMU,Generation Unit,,,
AG-DLIM01,2__DANGE001,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-DOCT01,,Additional Supplier BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-DSK01G,,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-DSK01H,V__HDSKC001,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-DSTK01,,Primary BMU,OTHER,GAS,NON-STANDARD,Generation Unit,Y,,
AG-DSTK02,,Primary BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-DSTK03,,Primary BMU,OTHER,GAS,NON-STANDARD,Generation Unit,Y,,
AG-DSTK04,,Primary BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-DSTK05,,Primary BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-DSTK07,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-DUKP01,,Primary BMU,OTHER,BATTERIES,BMU,Generation Unit,Y,,
AG-DUKP02,2__DUKPR002,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-DUKP08,2__DUKPR008,Additional Supplier BMU,OTHER,BATTERIES,BMU,Generation Unit,,,
AG-EDF01C,,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-EEDF02,,Additional Supplier BMU,OCGT,OCGT,BMU,Generation Unit,,,
AG-EFLX02,,Additional Supplier BMU,OTHER,BATTERIES,BMU,Generation Unit,,,
AG-EFLX03,,Additional Supplier BMU,OTHER,GAS,BMU,Bi-Directional,Y,,
AG-EFLX04,2__EFLEX004,Additional Supplier BMU,OTHER,OTHER,BMU,Bi-Directional,Y,,
AG-EFSE01,2__EFSEN003,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-ELIM02,2__EANGE001,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-ELIM03,2__EANGE002,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-EOCT01,2__EMRCY001,Additional Supplier BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-ERV01M,V__MEROV001,Secondary BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-ESTK01,,Primary BMU,OTHER,GAS,NON-STANDARD,Generation Unit,Y,,
AG-ESTK03,,Primary BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-ESTK05,2__ESTAT005,Primary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-EUKP01,2__EUKPR001,Primary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-EXE00E,,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-FFLX01,2__FFLEX001,Additional Supplier BMU,OTHER,GAS,BMU,Bi-Directional,,,
AG-FLIM02,2__FANGE002,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-FLX00L,,Secondary BMU,OTHER,BATTERIES,BMU,Generation Unit,,,
AG-FLX02N,,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,Y,,
AG-FLX06M,,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-FLX09A,V__AFLEX002,Secondary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-FLX0AA,V__AFLEX003,Secondary BMU,OTHER,BATTERIES,BMU,Demand Unit,,,
AG-FLX0BH,,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-FLX0CN,V__NFLEX003,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-FOCT01,,Additional Supplier BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-FOR01G,V__GFORS001,Secondary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-FOR01N,V__,Secondary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-FOR02N,V__NFORS006,Secondary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-FSTK02,,Primary BMU,OTHER,GAS,NON-STANDARD,Generation Unit,Y,,
AG-FSTK03,,Primary BMU,OTHER,GAS,NON-STANDARD,Generation Unit,Y,,
AG-GBL01B,,Primary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-GBL01G,V__GGBLO027,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-GBL01K,V__KGBLO029,Secondary BMU,OTHER,BATTERIES,BMU,Demand Unit,,,
AG-GBL02E,,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-GBL02K,V__KGBLO031,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-GBL03F,,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-GBL04M,,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-GBL05D,,Secondary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-GBL06G,,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-GBL07N,,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-GBL08H,,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-GBL08N,V__NGBLO002,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-GBL09B,V__BGBLO009,Secondary BMU,OTHER,BATTERIES,BMU,Demand Unit,,,
AG-GBL09H,V__HGBLO030,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-GBL0AE,,Secondary BMU,OTHER,BATTERIES,BMU,Demand Unit,,,
AG-GBL0BE,,Secondary BMU,OTHER,BATTERIES,BMU,Demand Unit,,,
AG-GBL0CE,,Secondary BMU,OTHER,BATTERIES,BMU,Demand Unit,,,
AG-GBL0DN,,Secondary BMU,OTHER,BATTERIES,BMU,Demand Unit,,,
AG-GBL0EN,,Secondary BMU,OTHER,BATTERIES,BMU,Demand Unit,,,
AG-GBL0FM,,Secondary BMU,OTHER,BATTERIES,BMU,Demand Unit,,,
AG-GBL0GM,,Secondary BMU,OTHER,BATTERIES,BMU,Demand Unit,,,
AG-GBL0HM,,Secondary BMU,OTHER,BATTERIES,BMU,Demand Unit,,,
AG-GBL0IA,,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-GBL0JP,,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-GBL0KB,,Secondary BMU,OTHER,BATTERIES,BMU,Demand Unit,,,
AG-GBL0LB,,Secondary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-GBL0MM,,Secondary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-GBL0NN,,Secondary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-GBL0OH,,Secondary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-GBL0PE,,Secondary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-GEDF03,2__GLOND003,Primary BMU,OCGT,OCGT,BMU,Generation Unit,,,
AG-GEDF04,2__GLOND004,Primary BMU,OCGT,OCGT,BMU,Generation Unit,,,
AG-GEDF05,2__GLOND005,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-GFLX01,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-GFLX02,,Additional Supplier BMU,OTHER,GAS,NON-STANDARD,Generation Unit,,,
AG-GFLX03,,Additional Supplier BMU,CCGT,CCGT,BMU,Generation Unit,,,
AG-GFLX04,2__GFLEX004,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-GFLX05,2__GFLEX005,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-GFLX06,2__GFLEX006,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-GFLX07,2__GFLEX007,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-GFLX08,2__GFLEX008,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-GFLX09,2__GFLEX009,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-GLIM01,,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-GLIM02,2__GANGE002,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-GLIM03,2__GANGE003,Primary BMU,OTHER,OTHER,BMU,Bi-Directional,,,
AG-GLIM04,2__GANGE004,Primary BMU,OTHER,OTHER,BMU,Bi-Directional,,,
AG-GOCT01,,Additional Supplier BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-GSMA02,2__GSMAR002,Primary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-GSTK07,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-GSTK08,,Primary BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-GSTK09,,Additional Supplier BMU,OTHER,BATTERIES,BMU,Generation Unit,Y,,
AG-GSTK10,,Primary BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-GSTK11,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-GSTK12,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-GSTK13,2__GSTAT013,Primary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-GSTK14,2_GSTAT014,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-GSTK15,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-GSTK16,,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-GSTK17,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-GUKP01,2__GUKPR001,Primary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-HAB01B,V__BHAB013,Secondary BMU,OTHER,BATTERIES,BMU,Generation Unit,,,
AG-HAB01D,V__GHAB016,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-HAB01F,V__FHAB014,Secondary BMU,OTHER,BATTERIES,BMU,Generation Unit,,,
AG-HAB01J,V__JHABI009,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-HAB01P,V__PHABI010,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,Y,,
AG-HAB02B,V__BHAB012,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-HAB02F,V__FHABI017,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-HAB02P,V__PHABI011,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-HAB03P,V__PHAB015,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-HEDF01,2__HLOND001,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-HEDF02,2__HLOND002,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-HEDF03,2__HLOND003,Additional Supplier BMU,OCGT,OCGT,BMU,Generation Unit,,,
AG-HEL0AG,,Secondary BMU,OTHER,BATTERIES,BMU,Generation Unit,,,
AG-HEL0CP,,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,Y,,
AG-HEL0DN,,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,Y,,
AG-HEL0EP,,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,Y,,
AG-HFLX01,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-HFLX02,2__HFLEX002,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-HLIM01,,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-HLIM02,,Secondary BMU,OTHER,BATTERIES,BMU,Generation Unit,Y,,
AG-HLIM03,,Primary BMU,OTHER,BATTERIES,BMU,Generation Unit,Y,,
AG-HLIM04,2__HANGE004,Primary BMU,OTHER,BATTERIES,BMU,Generation Unit,Y,,
AG-HLIM05,2__HANGE005,Primary BMU,OTHER,OTHER,BMU,Generation Unit,,,
AG-HOCT01,2__HMRCY001,Additional Supplier BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-HSTK01,,Primary BMU,OTHER,BATTERIES,BMU,Generation Unit,,,
AG-HSTK02,,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,Y,,
AG-HSTK03,,Primary BMU,OTHER,GAS,NON-STANDARD,Generation Unit,Y,,
AG-HSTK05,,Primary BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-HSTK06,,Primary BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-HSTK07,2__HSTAT007,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-HSTK09,2__HSTAT009,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-HUKP01,2__HUKPR001,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-JEDF02,2__JLOND002,Primary BMU,OCGT,OCGT,BMU,Generation Unit,,,
AG-JEDF03,2__JLOND003,Primary BMU,OCGT,OCGT,BMU,Generation Unit,,,
AG-JEDF04,2__JLOND004,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-JLIM01,2__JANGE001,Primary BMU,OTHER,OTHER,BMU,Generation Unit,,,
AG-JOCT01,2__JMRCY001,Additional Supplier BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-JSTK01,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-JSTK02,,Primary BMU,OTHER,BATTERIES,BMU,Generation Unit,,,
AG-JSTK03,,Primary BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-JUKP01,,Primary BMU,OTHER,BATTERIES,BMU,Generation Unit,Y,,
AG-KFLX01,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-KFLX02,2__KFLEX002,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-KLIM01,2__KANGE001,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-KOCT01,,Additional Supplier BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-KSTK01,,Primary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-KSTK02,,Primary BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-KSTK03,,Primary BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-KSTK04,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-KSTK07,2__KSTAT007,Primary BMU,OTHER,OTHER,BMU,Generation Unit,,,
AG-KUKP01,2__KUKPR001,Primary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-LEDG01,,Secondary BMU,OTHER,SOLAR,BMU,Generation Unit,,,
AG-LFLX01,,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,Y,,
AG-LLIM01,,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-LLIM02,,Primary BMU,OTHER,BATTERIES,BMU,Generation Unit,,,
AG-LLIM03,2__LANGE003,Primary BMU,OTHER,OTHER,BMU,Generation Unit,,,
AG-LLT00B,V__BLEVE001,Secondary BMU,OTHER,BATTERIES,BMU,Demand Unit,,,
AG-LLT01H,V__HLEVE001,Secondary BMU,OTHER,BATTERIES,BMU,Demand Unit,,,
AG-LLT02L,V__LLEVE001,Secondary BMU,OTHER,BATTERIES,BMU,Demand Unit,,,
AG-LOCT01,,Additional Supplier BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-LSTK01,2__LSTAT001,Primary BMU,OTHER,GAS,NON-STANDARD,Generation Unit,Y,,
AG-LSTK02,,Primary BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-LSTK03,,Primary BMU,OTHER,GAS,NON-STANDARD,Generation Unit,Y,,
AG-LSTK04,2__LSTAT004,Primary BMU,OTHER,OTHER,BMU,Generation Unit,,,
AG-LUKP01,2__LUKPR001,Primary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-MCAM01,,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,Y,,
AG-MCET01,2__AGMCET00,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-MECO01,2__MECOT003,Primary BMU,WIND,WIND,BMU,Generation Unit,,,
AG-MLIM01,2__MANGE001,Primary BMU,OTHER,OTHER,BMU,Bi-Directional,,,
AG-MLIM02,2__MANGE002,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-MLIM03,2__MANGE003,Primary BMU,OTHER,OTHER,BMU,Generation Unit,,,
AG-MOCT01,,Additional Supplier BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-MSTK01,2__MSTAT001,Primary BMU,OTHER,BATTERIES,BMU,Generation Unit,,,
AG-MSTK02,,Primary BMU,OTHER,GAS,NON-STANDARD,Generation Unit,Y,,
AG-MSTK04,2__MSTAT004,Primary BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-MSTK05,,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-MSTK06,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-MUPK01,2__MUKPR001,Primary BMU,OTHER,OTHER,BMU,Generation Unit,,,
AG-NEDF01,2__NLOND001,Primary BMU,OCGT,OCGT,BMU,Generation Unit,,,
AG-NEDF02,2__NLOND002,Primary BMU,OCGT,OCGT,BMU,Generation Unit,,,
AG-NEDF03,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-NFLX01,,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,Y,,
AG-NFLX02,2__NFLEX002,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,Y,,
AG-NFLX03,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-NFLX04,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,,,
AG-NFLX05,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-NFLX06,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-NFLX07,,Additional Supplier BMU,OTHER,GAS,BMU,Generation Unit,Y,,
AG-NFLX08,2__NFLEX008,Additional Supplier BMU,OTHER,OTHER,BMU,Generation Unit,,,
AG-NFLX09,,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,Y,,
AG-NHAV01,2__NHPOW001,Primary BMU,NPSHYD,NPSHYD,BMU,Generation Unit,Y,,
AG-NHAV02,2__NHPOW002,Primary BMU,NPSHYD,NPSHYD,BMU,Generation Unit,Y,,
AG-NHAV03,2__NHPOW003,Additional Supplier BMU,NPSHYD,NPSHYD,BMU,Generation Unit,,,
AG-NLIM01,2__NANGE001,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-NLIM02,2__NANGE002,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-NLIM03,2__NANGE003,Primary BMU,OTHER,OTHER,BMU,Generation Unit,,,
AG-NLIM04,2__NANGE004,Primary BMU,OTHER,OTHER,BMU,Generation Unit,,,
AG-NOCT01,,Additional Supplier BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-NSTK04,2__NSTAT004,Primary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-OPT01A,V__AOPTI001,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-OPT01B,V__BOPTI001,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-OPT01C,V__COPTI001,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-OPT01N,V__NOPTI001,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-OPT01P,V__POPTI001,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-ORA00A,,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand Unit,,,
AG-PEDF01,,Additional Supplier BMU,OTHER,BATTERIES,BMU,Generation Unit,Y,,
AG-PEDF02,2__PLOND002,Primary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-PFLX01,,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,Y,,
AG-PFLX02,,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,Y,,
AG-POW01B,V__BJOUL001,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-PSTK01,2_PSTAT001,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-REC05L,,Additional Supplier BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
AG-REC06B,2__BECOT003,Secondary BMU,WIND,WIND,BMU,Generation Unit,,,
AG-REC07E,2__EECOT001,Secondary BMU,OTHER,BATTERIES,BMU,Bi-Directional,,,
