"SETTLEMENT_DATE","SETTLEMENT_PERIOD","ND","TSD","ENGLAND_WALES_DEMAND","EMBEDDED_WIND_GENERATION","EMBEDDED_WIND_CAPACITY","EMBEDDED_SOLAR_GENERATION","EMBEDDED_SOLAR_CAPACITY","NON_BM_STOR","PUMP_STORAGE_PUMPING","SCOTTISH_TRANSFER","IFA_FLOW","IFA2_FLOW","BRITNED_FLOW","MOYLE_FLOW","EAST_WEST_FLOW","NEMO_FLOW","NSL_FLOW","ELECLINK_FLOW","VIKING_FLOW","GREENLINK_FLOW"
"2004-01-01",1,39462,NA,35168,NA,NA,NA,NA,0,452,NA,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",2,39935,NA,35703,NA,NA,NA,NA,0,576,NA,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",3,39978,NA,35848,NA,NA,NA,NA,0,574,NA,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",4,38942,NA,34879,NA,NA,NA,NA,0,591,NA,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",5,38007,NA,34025,NA,NA,NA,NA,0,644,NA,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",6,37696,NA,33691,NA,NA,NA,NA,0,647,NA,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",7,36379,NA,32412,NA,NA,NA,NA,0,1111,NA,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",8,34996,NA,31121,NA,NA,NA,NA,0,1126,NA,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",9,33689,NA,29935,NA,NA,NA,NA,0,1183,NA,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",10,33036,NA,29191,NA,NA,NA,NA,0,1169,NA,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",11,32232,NA,28471,NA,NA,NA,NA,0,1162,NA,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",12,31657,NA,27906,NA,NA,NA,NA,0,1136,NA,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",13,31554,NA,27754,NA,NA,NA,NA,0,1048,NA,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",14,31103,NA,27282,NA,NA,NA,NA,0,834,NA,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",15,30329,NA,26610,NA,NA,NA,NA,0,30,NA,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",16,29228,NA,25642,NA,NA,NA,NA,0,4,NA,1506,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",17,29055,NA,25608,NA,NA,NA,NA,0,4,NA,1499,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",18,29533,NA,26236,NA,NA,NA,NA,0,4,NA,1499,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",19,30793,NA,27493,NA,NA,NA,NA,0,1,NA,1628,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",20,32239,NA,28827,NA,NA,NA,NA,0,0,NA,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",21,33823,NA,30259,NA,NA,NA,NA,0,0,NA,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",22,35159,NA,31631,NA,NA,NA,NA,0,0,NA,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",23,36586,NA,32929,NA,NA,NA,NA,0,0,NA,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",24,37708,NA,33894,NA,NA,NA,NA,0,0,NA,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",25,38564,NA,34641,NA,NA,NA,NA,0,0,NA,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",26,38951,NA,34924,NA,NA,NA,NA,0,0,NA,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",27,39222,NA,35131,NA,NA,NA,NA,0,0,NA,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",28,38874,NA,34786,NA,NA,NA,NA,0,2,NA,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",29,38971,NA,34960,NA,NA,NA,NA,0,0,NA,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004-01-01",30,38641,NA,34700,NA,NA,NA,NA,0,0,NA,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA
