"SETTLEMENT_DATE","SETTLEMENT_PERIOD","ND","TSD","ENGLAND_WALES_DEMAND","EMBEDDED_WIND_GENERATION","EMBEDDED_WIND_CAPACITY","EMBEDDED_SOLAR_GENERATION","EMBEDDED_SOLAR_CAPACITY","NON_BM_STOR","PUMP_STORAGE_PUMPING","SCOTTISH_TRANSFER","IFA_FLOW","IFA2_FLOW","BRITNED_FLOW","MOYLE_FLOW","EAST_WEST_FLOW","NEMO_FLOW","NSL_FLOW","ELECLINK_FLOW","VIKING_FLOW","GREENLINK_FLOW"
"2001-01-01",1,38631,NA,34060,NA,NA,NA,NA,0,862,NA,1495,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",2,39808,NA,35370,NA,NA,NA,NA,0,153,NA,1496,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",3,40039,NA,35680,NA,NA,NA,NA,0,18,NA,1511,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",4,39339,NA,35029,NA,NA,NA,NA,0,9,NA,1958,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",5,38295,NA,34047,NA,NA,NA,NA,0,211,NA,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",6,38445,NA,34177,NA,NA,NA,NA,0,10,NA,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",7,37192,NA,33087,NA,NA,NA,NA,0,10,NA,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",8,35583,NA,31635,NA,NA,NA,NA,0,9,NA,1807,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",9,34485,NA,30569,NA,NA,NA,NA,0,6,NA,1366,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",10,33382,NA,29374,NA,NA,NA,NA,0,8,NA,1494,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",11,32595,NA,28552,NA,NA,NA,NA,0,8,NA,1494,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",12,31844,NA,27876,NA,NA,NA,NA,0,8,NA,1494,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",13,31621,NA,27606,NA,NA,NA,NA,0,28,NA,1494,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",14,30770,NA,26855,NA,NA,NA,NA,0,564,NA,1494,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",15,29781,NA,25997,NA,NA,NA,NA,0,949,NA,1494,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",16,28206,NA,24621,NA,NA,NA,NA,0,1635,NA,996,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",17,27953,NA,24502,NA,NA,NA,NA,0,1471,NA,502,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",18,28525,NA,25220,NA,NA,NA,NA,0,1863,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",19,29744,NA,26429,NA,NA,NA,NA,0,1497,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",20,30967,NA,27569,NA,NA,NA,NA,0,350,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",21,32308,NA,28802,NA,NA,NA,NA,0,11,NA,618,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",22,33201,NA,29667,NA,NA,NA,NA,0,9,NA,996,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",23,34186,NA,30588,NA,NA,NA,NA,0,10,NA,820,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001-01-01",24,34951,NA,31276,NA,NA,NA,NA,0,8,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA
